time,acc_x_g,acc_y_g,acc_z_g,gyro_x_rad_s,gyro_y_rad_s,gyro_z_rad_s
1765410609.662024,-7.003825,3.507293,-5.795671,-0.010690,-0.008705,-0.001222
1765410609.662274,-7.221424,3.475012,-5.547585,-0.009621,-0.009927,-0.000916
1765410609.662524,-7.431849,3.500717,-5.352702,-0.008705,-0.010079,-0.002902
1765410609.662774,-7.305116,3.520444,-5.604375,-0.005345,-0.005651,-0.000611
1765410609.663053,-7.104256,3.498326,-5.858440,-0.007636,-0.002596,-0.001222
1765410609.663303,-7.120396,3.498923,-5.718555,-0.010843,-0.010385,-0.000764
1765410609.663553,-7.333810,3.505499,-5.476446,-0.009621,-0.010385,-0.003665
1765410609.663803,-7.359516,3.493543,-5.466283,-0.009621,-0.003971,-0.003665
1765410609.664040,-7.146102,3.524629,-5.750836,-0.008247,-0.003971,-0.000916
1765410609.664240,-6.941654,3.541367,-5.981587,-0.005956,-0.004734,-0.000305
1765410609.664440,-6.923720,3.553324,-6.019846,-0.005651,-0.004581,0.000305
1765410609.664640,-7.220229,3.556313,-5.766977,-0.009621,-0.011912,-0.001069
1765410609.664840,-7.220229,3.556313,-5.766977,-0.009621,-0.007178,-0.001069
1765410609.665052,-7.457556,3.717120,-5.865613,-0.009621,0.005040,-0.002596
1765410609.665302,-7.488043,3.786465,-5.847082,-0.008399,0.005040,-0.001069
1765410609.665552,-7.388808,3.819344,-5.939144,-0.008552,0.005651,0.001680
1765410609.665802,-7.430654,3.883309,-5.980989,-0.009316,0.005651,0.003818
1765410609.665987,-7.615973,3.890482,-5.893113,-0.008858,0.005192,0.009316
1765410609.666187,-7.663198,3.781683,-5.882352,-0.005498,0.007789,0.014508
1765410609.666387,-7.686512,3.556910,-5.832137,-0.007789,0.011301,0.014813
1765410609.666587,-7.544237,3.619081,-5.857244,-0.004276,0.016952,0.011606
1765410609.666787,-7.563366,3.990315,-6.024629,-0.001222,0.012981,0.009774
1765410609.667013,-7.693686,4.192969,-5.729316,-0.000153,0.006261,0.018937
1765410609.667263,-7.754064,4.214490,-5.804638,0.005498,0.012217,0.029016
1765410609.667513,-7.841941,4.039933,-5.780726,0.009316,0.001069,0.037721
1765410609.667763,-7.912481,3.896461,-5.719751,0.014508,0.003665,0.038332
1765410609.667997,-7.892156,3.833094,-5.808225,0.022755,-0.000764,0.041386
1765410609.668247,-8.003346,3.794834,-5.577474,0.024129,-0.000458,0.041386
1765410609.668497,-8.070300,3.995695,-5.677905,0.032834,-0.011301,0.042608
1765410609.668747,-8.299855,4.127212,-5.574485,0.034667,-0.015577,0.048717
1765410609.669051,-8.299855,4.127212,-5.845289,0.034667,-0.017257,0.048717
1765410609.669301,-8.171926,3.731467,-5.908058,0.048717,-0.017868,0.057727
1765410609.669551,-8.100190,3.345886,-5.797464,0.052993,-0.021075,0.055283
1765410609.669801,-8.181491,3.560497,-5.760401,0.056658,-0.030696,0.046578
1765410609.669981,-8.418220,3.848039,-5.805834,0.064904,-0.037568,0.048869
1765410609.670231,-8.454087,3.751793,-5.900884,0.070402,-0.044593,0.055894
1765410609.670481,-8.774508,3.560497,-5.598398,0.081398,-0.051007,0.058490
1765410609.670731,-8.845049,3.359636,-5.499760,0.085674,-0.054672,0.052993
1765410609.670975,-8.844451,3.721903,-5.663558,0.093921,-0.063988,0.049022
1765410609.671175,-8.857005,3.777498,-5.494978,0.094226,-0.063988,0.055741
1765410609.671375,-8.727283,3.423003,-5.603777,0.102473,-0.074678,0.052382
1765410609.671575,-8.511477,3.229316,-5.735891,0.103389,-0.081092,0.051771
1765410609.671775,-8.527020,3.298660,-5.941535,0.113163,-0.092393,0.043677
1765410609.671937,-8.499520,3.576638,-5.891320,0.122478,-0.111483,0.043677
1765410609.672187,-9.092538,3.454088,-5.285748,0.125380,-0.119730,0.039095
1765410609.672437,-9.298182,3.372788,-4.970707,0.134543,-0.120035,0.039706
1765410609.672687,-8.970588,3.235293,-5.576278,0.144622,-0.135765,0.032376
1765410609.673058,-8.752390,3.165351,-5.810019,0.137903,-0.155923,0.024587
1765410609.673308,-8.862983,2.999760,-5.416666,0.153785,-0.160047,0.025504
1765410609.673558,-8.814561,3.289096,-5.891917,0.167224,-0.183870,0.016493
1765410609.673808,-9.196555,3.350071,-5.353897,0.166919,-0.204334,0.015730
1765410609.674021,-9.336440,3.201817,-5.487206,0.182801,-0.214566,0.016646
1765410609.674354,-9.192968,3.293878,-5.734097,0.189368,-0.214566,0.009316
1765410609.674688,-9.421328,3.271162,-5.336561,0.193033,-0.240681,0.005803
1765410609.675052,-9.378884,3.049976,-5.465686,0.199906,-0.231976,0.004123
1765410609.675302,-8.970588,3.365614,-6.188426,0.219606,-0.250149,-0.001833
1765410609.675552,-8.779291,3.050573,-5.952892,0.216094,-0.277638,-0.000458
1765410609.675802,-8.782878,2.541846,-5.804638,0.217315,-0.270308,-0.011606
1765410609.676031,-8.786465,3.247250,-6.395265,0.236405,-0.282831,-0.020617
1765410609.676281,-9.418937,3.063725,-5.334768,0.239459,-0.319941,-0.018173
1765410609.676531,-9.544475,2.749880,-4.929459,0.239459,-0.312763,-0.018173
1765410609.676781,-8.874939,3.185079,-6.091582,0.260687,-0.349568,-0.034361
1765410609.677034,-8.927546,3.267575,-5.952892,0.266337,-0.349568,-0.035430
1765410609.677284,-8.927546,3.267575,-5.952892,0.266337,-0.368810,-0.035430
1765410609.677534,-9.184600,3.132472,-5.648015,0.285121,-0.375529,-0.035736
1765410609.677784,-9.058464,2.409732,-6.067670,0.288634,-0.396146,-0.032834
1765410609.678050,-9.099712,2.299139,-5.526063,0.299171,-0.407142,-0.052382
1765410609.678383,-9.338832,2.855093,-5.823768,0.314596,-0.422261,-0.061087
1765410609.678717,-9.035150,2.541846,-5.985174,0.319941,-0.439670,-0.058490
1765410609.678964,-8.868363,2.826996,-6.005499,0.335518,-0.433103,-0.074984
1765410609.679214,-8.439143,3.170133,-6.093376,0.353691,-0.433103,-0.065057
1765410609.679464,-8.229315,2.608202,-6.681611,0.354149,-0.459676,-0.064752
1765410609.679714,-8.898851,2.998565,-5.939144,0.366366,-0.473268,-0.075136
1765410609.680155,-9.263509,2.642276,-5.533237,0.384998,-0.467465,-0.065515
1765410609.680405,-8.854016,2.256097,-6.496891,0.404393,-0.504117,-0.076969
1765410609.680655,-9.056670,2.534672,-5.807030,0.406684,-0.504117,-0.093310
1765410609.680905,-9.056670,2.534672,-5.807030,0.406684,-0.487165,-0.093310
1765410609.681130,-8.717717,2.904113,-6.591343,0.433103,-0.504269,-0.101556
1765410609.681463,-8.969392,2.523911,-6.088593,0.431729,-0.519083,-0.106291
1765410609.681797,-9.421328,2.506576,-5.235532,0.451888,-0.523359,-0.107970
1765410609.681944,-8.862385,2.351745,-6.114299,0.464716,-0.523359,-0.111788
1765410609.682194,-8.862385,2.351745,-6.114299,0.464716,-0.556346,-0.111788
1765410609.682444,-9.061452,2.948947,-5.559540,0.486707,-0.547793,-0.118966
1765410609.682694,-8.505499,3.226327,-5.862624,0.507171,-0.562149,-0.111788
1765410609.682944,-8.721902,3.012912,-6.177665,0.505644,-0.600786,-0.104153
1765410609.683194,-8.556910,1.926112,-6.544715,0.520152,-0.600786,-0.104153
1765410609.683444,-8.556910,1.926112,-6.544715,0.520152,-0.613920,-0.104153
1765410609.683694,-8.368004,2.698469,-6.703730,0.540310,-0.637285,-0.122937
1765410609.683997,-8.729075,2.497608,-6.127450,0.539394,-0.637285,-0.130420
1765410609.684330,-8.967599,2.860473,-5.488402,0.555124,-0.639729,-0.129656
1765410609.684664,-9.152318,2.648254,-5.698827,0.570243,-0.647517,-0.120493
1765410609.685039,-8.818746,2.412721,-6.675035,0.575435,-0.657749,-0.121257
1765410609.685289,-8.982543,2.657221,-6.495695,0.589790,-0.684322,-0.128893
1765410609.685539,-9.120635,1.850191,-6.111907,0.600633,-0.678213,-0.125533
1765410609.685789,-9.088952,2.709230,-6.196795,0.629344,-0.688751,-0.133474
1765410609.686017,-9.356767,2.290770,-5.752032,0.621708,-0.701273,-0.125380
1765410609.686267,-9.546865,1.902200,-5.153036,0.633620,-0.701121,-0.128434
1765410609.686517,-8.656144,2.097680,-6.647536,0.645990,-0.713949,-0.130572
1765410609.686767,-8.653753,2.161047,-6.233859,0.648281,-0.747241,-0.135765
1765410609.687028,-8.653753,2.161047,-6.233859,0.648281,-0.737467,-0.135765
1765410609.687361,-7.946555,2.624342,-6.763509,0.678519,-0.766178,-0.132863
1765410609.687695,-8.651959,2.131755,-5.775345,0.671188,-0.775646,-0.122937
1765410609.687982,-8.538976,2.165232,-6.334290,0.705091,-0.788780,-0.118966
1765410609.688232,-8.592777,2.135342,-6.508248,0.707840,-0.796263,-0.121562
1765410609.688482,-8.560496,1.421569,-6.207555,0.725861,-0.804968,-0.126755
1765410609.688732,-8.450501,2.077355,-6.347440,0.755793,-0.795805,-0.138819
1765410609.689014,-8.348875,1.868723,-7.044476,0.763582,-0.803746,-0.137750
1765410609.689347,-8.663319,1.905787,-6.335485,0.773966,-0.808327,-0.148898
1765410609.689681,-8.654949,2.385820,-5.764586,0.789696,-0.791987,-0.159894
1765410609.690165,-9.055475,3.082855,-4.906743,0.799928,-0.797179,-0.154091
1765410609.690415,-8.583810,2.889167,-5.558344,0.807869,-0.807258,-0.140804
1765410609.690665,-8.452893,3.070301,-6.137015,0.822988,-0.826959,-0.149815
1765410609.690915,-7.748684,2.826398,-6.429937,0.833678,-0.833220,-0.139277
1765410609.692114,-8.648373,3.164753,-5.251076,0.838871,-0.843300,-0.145233
1765410609.692364,-9.185795,2.711023,-4.505021,0.815200,-0.840398,-0.143401
1765410609.692614,-9.212696,2.969871,-5.202056,0.840245,-0.859335,-0.140041
