time,acc_x_g,acc_y_g,acc_z_g,gyro_x_rad_s,gyro_y_rad_s,gyro_z_rad_s
1765410392.186532,-9.281443,-2.180774,-2.656623,-0.006109,-0.002291,-0.001985
1765410392.186732,-9.016020,-2.262673,-2.767814,-0.009468,-0.011912,-0.001222
1765410392.186932,-9.390243,-2.279412,-2.300334,-0.007789,-0.011912,-0.002138
1765410392.187132,-9.691534,-2.248924,-2.123386,-0.010232,-0.010079,-0.001985
1765410392.186946,-9.371711,-2.189144,-2.583692,-0.008399,-0.000611,0.000000
1765410392.187196,-9.135580,-2.282998,-2.702056,-0.007025,-0.001833,-0.001527
1765410392.187446,-9.358560,-2.326638,-2.299139,-0.011148,-0.010232,-0.001833
1765410392.187696,-9.499043,-2.215447,-2.333811,-0.009163,-0.009163,-0.001222
1765410392.187891,-9.499043,-2.215447,-2.333811,-0.009163,-0.005956,-0.001222
1765410392.188141,-8.983739,-2.260880,-2.780966,-0.009010,-0.013134,0.000153
1765410392.188391,-9.286225,-2.291965,-2.415112,-0.010537,-0.013134,-0.000916
1765410392.188641,-9.659851,-2.229794,-2.221425,-0.004887,-0.015119,-0.001985
1765410392.188886,-9.459588,-2.283596,-2.427068,-0.001680,-0.008858,-0.001374
1765410392.189136,-9.166666,-2.330224,-2.675753,-0.001680,-0.007636,-0.001374
1765410392.189386,-9.348397,-2.104256,-2.459947,-0.005956,-0.026725,-0.007789
1765410392.189636,-9.616809,-1.890244,-2.129364,-0.006261,-0.026725,-0.007636
1765410392.189929,-9.616809,-1.890244,-2.129364,-0.006261,-0.022907,-0.007636
1765410392.190129,-9.047703,-1.910569,-2.814442,-0.009316,-0.033139,0.006567
1765410392.190329,-9.176230,-1.999641,-2.571736,-0.008858,-0.042761,0.005956
1765410392.190529,-9.445839,-1.909971,-2.131157,-0.007025,-0.047189,0.010996
1765410392.190729,-9.437469,-1.651124,-2.219034,-0.009163,-0.053909,0.016035
1765410392.193080,-9.317909,-1.557867,-2.391200,-0.006414,-0.062766,0.025504
1765410392.193330,-9.262314,-1.713295,-2.311095,-0.004887,-0.074984,0.038485
1765410392.193580,-9.342419,-1.794596,-2.500000,-0.001527,-0.094226,0.038332
1765410392.193830,-9.393829,-1.750956,-2.511955,0.001527,-0.099266,0.040164
1765410392.193122,-9.184600,-1.676231,-2.706839,0.004887,-0.100029,0.045815
1765410392.193372,-9.111668,-1.563845,-2.851506,0.009927,-0.110414,0.056047
1765410392.193622,-9.196555,-1.759325,-2.657819,0.006109,-0.120035,0.057116
1765410392.193872,-9.446436,-1.709708,-2.337398,0.009316,-0.120340,0.061545
1765410392.193952,-9.117646,-1.634385,-2.960305,0.018937,-0.132100,0.070708
1765410392.194202,-8.978956,-1.620038,-2.887374,0.013286,-0.146760,0.072388
1765410392.194452,-9.186991,-1.753945,-2.609995,0.018479,-0.151953,0.075136
1765410392.194702,-9.329267,-1.701339,-2.736728,0.030849,-0.167072,0.079412
1765410392.194961,-9.542084,-1.808943,-2.435437,0.023518,-0.177456,0.082009
1765410392.195294,-9.649688,-1.932090,-2.412123,0.028558,-0.173791,0.083383
1765410392.195628,-9.465566,-1.963175,-2.763032,0.032223,-0.191812,0.083230
1765410392.196017,-9.570778,-1.893830,-2.927427,0.026573,-0.209679,0.078191
1765410392.196267,-9.597081,-1.862745,-2.381635,0.038026,-0.211359,0.082925
1765410392.196517,-9.076995,-1.774868,-3.006934,0.045815,-0.211359,0.091019
1765410392.196767,-9.002869,-1.934481,-3.251434,0.036499,-0.232282,0.087201
1765410392.197031,-9.213294,-1.964371,-2.616571,0.045662,-0.227853,0.090713
1765410392.197281,-9.053083,-2.046867,-3.278335,0.058948,-0.238848,0.089797
1765410392.197531,-8.999282,-2.109039,-3.486370,0.049938,-0.257327,0.083689
1765410392.197781,-9.176230,-1.933285,-3.133667,0.057879,-0.242514,0.079565
1765410392.198051,-8.872548,-2.019368,-3.415829,0.074526,-0.242666,0.089644
1765410392.198301,-9.139167,-2.115016,-3.054758,0.068570,-0.268628,0.084910
1765410392.198551,-9.570778,-2.090507,-2.349952,0.070708,-0.253662,0.081245
1765410392.198801,-9.082973,-2.105452,-3.513271,0.085521,-0.266032,0.088881
1765410392.199011,-8.956241,-2.269249,-3.620875,0.080481,-0.290008,0.076969
1765410392.199261,-9.406981,-1.978718,-2.569345,0.091477,-0.274889,0.074678
1765410392.199511,-9.170252,-2.205882,-2.805475,0.102931,-0.282525,0.084758
1765410392.199761,-8.906025,-1.957197,-3.321377,0.097280,-0.300240,0.075136
1765410392.200058,-8.939502,-1.817312,-3.522835,0.096364,-0.306502,0.084299
1765410392.200308,-9.146938,-2.091105,-3.547345,0.108276,-0.306502,0.090255
1765410392.200558,-9.337636,-2.195122,-3.390722,0.111330,-0.314748,0.082009
1765410392.200808,-9.629362,-2.293161,-2.549019,0.113468,-0.295353,0.084299
1765410392.200983,-9.172046,-1.694165,-3.487565,0.123395,-0.294132,0.084758
1765410392.201316,-8.916187,-1.996652,-3.598158,0.126449,-0.319483,0.100945
1765410392.201650,-9.582136,-2.243543,-3.095408,0.132558,-0.317039,0.095448
