time,acc_x_g,acc_y_g,acc_z_g,gyro_x_rad_s,gyro_y_rad_s,gyro_z_rad_s
1765410174.497100,-0.304878,0.014945,-0.059182,0.001833,-2.453846,0.275500
1765410174.497350,-9.763867,0.847083,-0.511717,-0.008094,-0.007789,-0.000153
1765410174.497600,-10.062170,0.882353,-0.170373,-0.008399,-0.010232,-0.002138
1765410174.497850,-9.972500,0.883548,-0.348517,-0.006109,-0.005498,-0.002443
1765410174.498116,-9.860711,0.840507,-0.353898,-0.008247,-0.004429,-0.002291
1765410174.498316,-9.948587,0.817790,-0.221186,-0.011454,-0.008247,-0.003665
1765410174.498516,-9.976088,0.826160,-0.178144,-0.009163,-0.007636,-0.000916
1765410174.498716,-9.730989,0.862625,-0.380201,-0.008552,-0.001527,-0.002291
1765410174.498916,-9.505020,0.882353,-0.560139,-0.009927,-0.001527,-0.001222
1765410174.499110,-9.450023,0.700622,-0.625299,-0.011301,-0.011454,0.007178
1765410174.499310,-9.238999,0.481229,-0.822573,-0.006872,-0.011454,0.010385
1765410174.499510,-8.962218,0.222382,-1.214730,-0.001374,-0.001985,0.007636
1765410174.499710,-8.631037,0.343735,-1.268532,0.003818,0.009927,-0.000764
1765410174.499910,-9.049497,0.624103,-1.101745,0.010996,0.018173,0.011454
1765410174.500063,-8.907221,0.026303,-1.404232,0.015272,0.018631,0.025045
1765410174.500313,-9.149927,-0.206241,-1.720468,0.024435,0.026420,0.020769
1765410174.500563,-9.055475,-0.458513,-1.575801,0.032681,0.045051,0.021228
1765410174.500813,-9.340028,-0.701817,-1.140602,0.042608,0.060476,0.014661
1765410174.501087,-9.484695,-0.549976,-1.509445,0.052687,0.059254,0.009316
1765410174.501337,-9.619201,-0.570301,-1.977522,0.052229,0.065210,0.005192
1765410174.501587,-9.861309,-0.789096,-1.843615,0.069791,0.082467,0.008552
1765410174.501837,-9.991630,-1.016858,-1.740794,0.079871,0.090408,0.005192
1765410174.502063,-10.313247,-0.972621,-1.584170,0.085674,0.095142,-0.009468
1765410174.502313,-10.477044,-0.770564,-1.698948,0.091172,0.105985,-0.017104
1765410174.502563,-10.540410,-0.930177,-1.551889,0.091172,0.116523,-0.017104
1765410174.502813,-10.442968,-1.133429,-1.814323,0.123700,0.113468,-0.012675
1765410174.503047,-10.797463,-1.082018,-1.284672,0.134390,0.113621,-0.021380
1765410174.503297,-10.852463,-0.943926,-1.384505,0.145844,0.122631,-0.028253
1765410174.503547,-10.676708,-0.631875,-1.872310,0.161727,0.122631,-0.022907
1765410174.503797,-10.659969,-0.919416,-1.903395,0.167988,0.120035,-0.018021
1765410174.504137,-10.864417,-1.199187,-1.489718,0.184939,0.124464,-0.018326
1765410174.504387,-10.707196,-1.376136,-1.868723,0.198073,0.124158,-0.023060
1765410174.504637,-10.700620,-1.509445,-1.908178,0.206014,0.112857,-0.032223
1765410174.504887,-10.790291,-1.218316,-2.070779,0.225715,0.117133,-0.045509
1765410174.506642,-10.868004,-0.903874,-1.795193,0.237932,0.107054,-0.045357
1765410174.506892,-10.890720,-0.882353,-1.891439,0.243124,0.111483,-0.051465
1765410174.507142,-10.890720,-0.882353,-1.891439,0.243124,0.110108,-0.051465
1765410174.507392,-11.098157,-0.891918,-1.608082,0.271835,0.101556,-0.041386
