time,j1,j2,j3,j4,j5,j6,j7,gripper1,gripper2,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz
0.0,0.00016700293,-0.785875,4.0107683e-05,-2.3551247,9.29385e-05,1.570997,0.786,0.04,0.04,-9.537924,-0.022593593224883,0.11164577,2.2446115e-07,-0.0011641273740679,7.880786e-07
0.0025,0.0001670031175,-0.785857774,4.010732255e-05,-2.35513919,9.29436345e-05,1.570996565,0.786,0.04,0.04,-9.582391349999964,-0.019110155169621963,0.09626344400001224,2.1356818450000866e-07,-0.0013251610565929218,8.644911499999392e-07
0.005,0.000167003305,-0.785840548,4.01069621e-05,-2.3551536800000004,9.2948769e-05,1.57099613,0.786,0.04,0.04,-9.626858699999929,-0.015626717114360925,0.08088111800002448,2.0267521900001734e-07,-0.0014861947391179436,9.409036999998784e-07
0.0075,0.0001670034925,-0.785823322,4.010660165e-05,-2.3551681700000002,9.295390349999998e-05,1.570995695,0.786,0.04,0.04,-9.671326049999895,-0.012143279059099886,0.06549879200003673,1.91782253500026e-07,-0.0016472284216429655,1.0173162499998175e-06
0.01,0.00016700367999999998,-0.7858060960000001,4.01062412e-05,-2.35518266,9.295903799999999e-05,1.5709952600000001,0.786,0.04,0.04,-9.715793399999859,-0.008659841003838849,0.05011646600004897,1.8088928800003466e-07,-0.0018082621041679873,1.0937287999997568e-06
0.0125,0.0001670038675,-0.7857888700000001,4.010588075e-05,-2.35519715,9.296417249999997e-05,1.570994825,0.786,0.04,0.04,-9.760260749999823,-0.00517640294857781,0.03473414000006121,1.6999632250004332e-07,-0.001969295786693009,1.170141349999696e-06
0.015,0.000167004055,-0.7857716440000001,4.010552030000001e-05,-2.3552116400000003,9.296930699999998e-05,1.57099439,0.786,0.04,0.04,-9.804728099999787,-0.001692964893316773,0.019351814000073464,1.59103357000052e-07,-0.002130329469218031,1.246553899999635e-06
0.0175,0.000167003678,-0.7857548620000001,4.0101915350000056e-05,-2.355225735,9.297385169999999e-05,1.57099396,0.786,0.04,0.04,-9.8342767,0.0006240481336135632,0.009023150200001233,2.3177376599866433e-07,-0.002287105412687224,1.4244788849978782e-06
0.02,0.000167002172,-0.7857389680000001,4.0091821400000066e-05,-2.35523904,9.297721679999998e-05,1.5709935400000001,0.786,0.04,0.04,-9.833987800000001,0.0006082111038268009,0.008801810800001409,4.715709239984734e-07,-0.002435365878044556,1.8054287399975747e-06
0.0225,0.000167000666,-0.7857230740000001,4.008172745000008e-05,-2.355252345,9.298058189999998e-05,1.57099312,0.786,0.04,0.04,-9.833698900000002,0.0005923740740400384,0.008580471400001585,7.113680819982826e-07,-0.002583626343401888,2.1863785949972716e-06
0.025,0.00016699916,-0.7857071800000002,4.007163350000008e-05,-2.3552656499999998,9.298394699999997e-05,1.5709927000000001,0.786,0.04,0.04,-9.833410000000002,0.0005765370442532761,0.00835913200000176,9.511652399980919e-07,-0.0027318868087592204,2.567328449996969e-06
0.0275,0.000166997654,-0.7856912860000002,4.006153955000009e-05,-2.3552789549999997,9.298731209999997e-05,1.57099228,0.786,0.04,0.04,-9.833121100000003,0.0005607000144665136,0.008137792600001937,1.190962397997901e-06,-0.0028801472741165524,2.9482783049966654e-06
0.03,0.00016699614800000002,-0.7856753920000001,4.00514456000001e-05,-2.3552922599999997,9.299067719999996e-05,1.57099186,0.786,0.04,0.04,-9.832832200000002,0.0005448629846797513,0.007916453200002112,1.43075955599771e-06,-0.0030284077394738844,3.329228159996362e-06
0.0325,0.00016699464200000002,-0.7856594980000001,4.0041351650000106e-05,-2.3553055649999997,9.299404229999997e-05,1.57099144,0.786,0.04,0.04,-9.832543300000003,0.0005290259548929889,0.007695113800002289,1.6705567139975193e-06,-0.0031766682048312163,3.7101780149960592e-06
0.035,0.00016698987900000008,-0.7856444400000001,4.00141477000004e-05,-2.3553181,9.29946166e-05,1.57099101,0.786,0.04,0.04,-9.832260300000003,0.0005058408860352693,0.007492276300002156,2.19213768999262e-06,-0.003316750982774695,4.432915369990045e-06
0.0375,0.00016698348750000008,-0.7856298000000002,3.997838875000043e-05,-2.3553302499999997,9.29937955e-05,1.570990575,0.786,0.04,0.04,-9.831980250000003,0.0004789817976418957,0.007298689750002311,2.8546105749920918e-06,-0.0034527449170110515,5.326546474989332e-06
0.04,0.0001669770960000001,-0.7856151600000002,3.994262980000046e-05,-2.3553423999999996,9.299297440000001e-05,1.57099014,0.786,0.04,0.04,-9.831700200000004,0.000452122709248522,0.007105103200002465,3.517083459991565e-06,-0.0035887388512474082,6.2201775799886215e-06
0.0425,0.0001669707045000001,-0.7856005200000002,3.9906870850000483e-05,-2.35535455,9.299215330000001e-05,1.5709897050000001,0.786,0.04,0.04,-9.831420150000003,0.0004252636208551484,0.006911516650002619,4.1795563449910385e-06,-0.0037247327854837654,7.113808684987912e-06
0.045,0.0001669643130000001,-0.7855858800000002,3.9871111900000515e-05,-2.3553667,9.29913322e-05,1.57098927,0.786,0.04,0.04,-9.831140100000004,0.00039840453246177475,0.006717930100002773,4.842029229990511e-06,-0.0038607267197201217,8.0074397899872e-06
0.0475,0.0001669579215000001,-0.7855712400000002,3.983535295000054e-05,-2.3553788499999997,9.299051110000001e-05,1.570988835,0.786,0.04,0.04,-9.830860050000004,0.0003715454440684011,0.006524343550002927,5.5045021149899835e-06,-0.003996720653956479,8.901070894986487e-06
0.05,0.0001669515300000001,-0.7855566000000003,3.979959400000057e-05,-2.355391,9.298969000000001e-05,1.5709884,0.786,0.04,0.04,-9.830580000000005,0.0003446863556750275,0.006330757000003081,6.166974999989457e-06,-0.004132714588192836,9.794701999985778e-06
0.0525,0.00016693540200000026,-0.7855431000000003,3.971532745000141e-05,-2.35540213,9.298311040000011e-05,1.57098798,0.786,0.04,0.03999999925,-9.830306550000005,0.0003067016878054903,0.006161755825002824,7.382542674979685e-06,-0.00425683904904656,1.1537589199970871e-05
0.055,0.00016691927400000028,-0.7855296000000003,3.963106090000147e-05,-2.3554132599999997,9.297653080000012e-05,1.57098756,0.786,0.04,0.0399999985,-9.830033100000005,0.000268717019935776,0.005992754650002959,8.598110349978719e-06,-0.004380963509900097,1.3280476399969487e-05
0.0575,0.0001669031460000003,-0.7855161000000003,3.9546794350001545e-05,-2.3554243899999996,9.296995120000012e-05,1.57098714,0.786,0.04,0.03999999775,-9.829759650000005,0.00023073235206606167,0.005823753475003093,9.813678024977752e-06,-0.004505087970753633,1.50233635999681e-05
0.06,0.0001668870180000003,-0.7855026000000003,3.946252780000161e-05,-2.35543552,9.296337160000013e-05,1.57098672,0.786,0.04,0.039999997,-9.829486200000005,0.00019274768419634748,0.005654752300003228,1.1029245699976782e-05,-0.004629212431607169,1.676625079996671e-05
0.0625,0.00016687089000000033,-0.7854891000000003,3.9378261250001675e-05,-2.3554466499999998,9.295679200000014e-05,1.5709863,0.786,0.04,0.03999999625,-9.829212750000005,0.00015476301632663314,0.005485751125003362,1.2244813374975816e-05,-0.0047533368924607055,1.8509137999965325e-05
0.065,0.00016685476200000031,-0.7854756000000003,3.929399470000174e-05,-2.3554577799999996,9.295021240000014e-05,1.57098588,0.786,0.04,0.0399999955,-9.828939300000005,0.00011677834845691884,0.005316749950003497,1.346038104997485e-05,-0.004877461353314242,2.0252025199963937e-05
0.0675,0.00016683329450000071,-0.7854624300000003,3.9183864500003567e-05,-2.3554685399999995,9.293918595000045e-05,1.570985455,0.786,0.04,0.03999999525,-9.828674250000004,7.486059912590435e-05,0.00515406500500331,1.4890857724958975e-05,-0.004997946321961674,2.2229272999946058e-05
0.07,0.0001668011480000008,-0.7854499200000004,3.902200700000397e-05,-2.3554785599999994,9.29192658000005e-05,1.57098502,0.786,0.04,0.039999996,-9.828426000000006,2.5076686871538313e-05,0.005004012520003685,1.6751152399954323e-05,-0.005111152306196201,2.467524199993994e-05
0.0725,0.00016676900150000088,-0.7854374100000003,3.886014950000438e-05,-2.35548858,9.289934565000054e-05,1.570984585,0.786,0.04,0.03999999675,-9.828177750000007,-2.4707225382827438e-05,0.0048539600350040605,1.861144707494966e-05,-0.005224358290430727,2.7121210999933813e-05
0.075,0.00016673685500000096,-0.7854249000000003,3.8698292000004784e-05,-2.3554985999999998,9.287942550000059e-05,1.5709841500000001,0.786,0.04,0.0399999975,-9.827929500000007,-7.449113763719346e-05,0.0047039075500044355,2.047174174994501e-05,-0.005337564274665254,2.9567179999927696e-05
0.0775,0.00016670470850000104,-0.7854123900000004,3.853643450000519e-05,-2.3555086199999997,9.285950535000064e-05,1.5709837150000001,0.786,0.04,0.03999999825,-9.827681250000008,-0.0001242750498915595,0.004553855065004811,2.2332036424940357e-05,-0.005450770258899781,3.201314899992158e-05
0.08,0.00016667256200000112,-0.7853998800000004,3.837457700000559e-05,-2.3555186399999997,9.283958520000069e-05,1.57098328,0.786,0.04,0.039999999,-9.827433000000008,-0.00017405896214592553,0.004403802580005186,2.4192331099935705e-05,-0.005563976243134308,3.4459117999915465e-05
0.0825,0.0001666404155000012,-0.7853873700000004,3.8212719500006e-05,-2.3555286599999996,9.281966505000074e-05,1.570982845,0.786,0.04,0.03999999975,-9.82718475000001,-0.00022384287440029157,0.004253750095005561,2.6052625774931053e-05,-0.005677182227368835,3.690508699990935e-05
0.085,0.0001665924800000021,-0.7853755000000003,3.7975989800010225e-05,-2.3555382999999996,9.278875090000136e-05,1.57098241,0.78599985,0.04,0.04,-9.826938300000009,-0.0002787912089821349,0.004112796120005086,2.84087855999029e-05,-0.0057832143269440205,4.017757199986257e-05
0.08750000000000001,0.00016653665000000204,-0.7853639500000004,3.770182400000997e-05,-2.35554775,9.275233975000132e-05,1.570981975,0.7859996250000001,0.04,0.04,-9.826692750000008,-0.00033632175472815724,0.0039763914000049624,3.101287799990527e-05,-0.005885659484188924,4.386331499986592e-05
0.09,0.00016648082000000197,-0.7853524000000004,3.7427658200009726e-05,-2.3555572,9.271592860000129e-05,1.57098154,0.7859994,0.04,0.04,-9.82644720000001,-0.00039385230047417927,0.0038399866800048386,3.361697039990763e-05,-0.005988104641433826,4.754905799986926e-05
0.0925,0.00016642499000000193,-0.7853408500000003,3.7153492400009474e-05,-2.3555666499999997,9.267951745000126e-05,1.570981105,0.785999175,0.04,0.04,-9.826201650000009,-0.00045138284622020167,0.0037035819600047147,3.622106279991e-05,-0.00609054979867873,5.1234800999872615e-05
0.095,0.0001663691600000019,-0.7853293000000003,3.687932660000923e-05,-2.3555761,9.264310630000123e-05,1.57098067,0.7859989500000001,0.04,0.04,-9.825956100000008,-0.0005089133919662241,0.0035671772400045904,3.882515519991237e-05,-0.006192994955923633,5.492054399987597e-05
0.0975,0.00016631333000000184,-0.7853177500000004,3.6605160800008975e-05,-2.35558555,9.26066951500012e-05,1.570980235,0.785998725,0.04,0.04,-9.825710550000007,-0.0005664439377122464,0.003430772520004466,4.1429247599914746e-05,-0.006295440113168536,5.860628699987932e-05
0.1,0.0001662575000000018,-0.7853062000000003,3.633099500000873e-05,-2.3555949999999997,9.257028400000117e-05,1.5709798,0.7859985,0.04,0.04,-9.825465000000007,-0.0006239744834582688,0.0032943678000043417,4.403333999991711e-05,-0.00639788527041344,6.229202999988268e-05
0.10250000000000001,0.00016616913350000275,-0.7852954150000003,3.590482475001318e-05,-2.355603745,9.251162890000181e-05,1.570979785,0.785998215,0.04,0.04,-9.825284550000005,-0.0006895927363054161,0.0031783320900035878,4.847503139986266e-05,-0.006491947057654002,6.725693639984648e-05
0.105,0.00016608076700000266,-0.7852846300000003,3.5478654500012795e-05,-2.35561249,9.245297380000176e-05,1.5709797699999999,0.7859979300000001,0.04,0.04,-9.825104100000004,-0.0007552109891528205,0.003062296380003483,5.291672279986668e-05,-0.006586008844894297,7.222184279985097e-05
0.1075,0.00016599240050000258,-0.7852738450000003,3.5052484250012406e-05,-2.355621235,9.239431870000172e-05,1.570979755,0.785997645,0.04,0.04,-9.824923650000004,-0.0008208292420002252,0.0029462606700033775,5.735841419987072e-05,-0.006680070632134593,7.718674919985549e-05
0.11,0.0001659040340000025,-0.7852630600000003,3.462631400001202e-05,-2.35562998,9.233566360000165e-05,1.57097974,0.7859973600000001,0.04,0.04,-9.824743200000004,-0.00088644749484763,0.002830224960003272,6.180010559987476e-05,-0.006774132419374888,8.215165559986002e-05
0.1125,0.0001658156675000024,-0.7852522750000003,3.420014375001163e-05,-2.355638725,9.22770085000016e-05,1.5709797250000002,0.785997075,0.04,0.04,-9.824562750000004,-0.0009520657476950347,0.0027141892500031663,6.62417969998788e-05,-0.0068681942066151835,8.711656199986454e-05
0.115,0.00016572730100000233,-0.7852414900000003,3.3773973500011245e-05,-2.35564747,9.221835340000155e-05,1.57097971,0.78599679,0.04,0.04,-9.824382300000003,-0.0010176840005424394,0.0025981535400030602,7.068348839988285e-05,-0.006962255993855479,9.208146839986906e-05
0.11750000000000001,0.00016562478350000347,-0.7852309500000003,3.3282398050016556e-05,-2.355655875,9.215015720000233e-05,1.570979705,0.7859965050000001,0.04,0.04,-9.824193900000004,-0.0010853624204153801,0.002481651385003124,7.548955919985277e-05,-0.007052821014074227,9.752101569983006e-05
0.12,0.0001654939640000038,-0.7852209000000003,3.266001220001812e-05,-2.3556635999999997,9.206287880000254e-05,1.57097972,0.78599622,0.04,0.04,-9.823989600000006,-0.0011571611743398703,0.0023642163400034184,8.10243887998389e-05,-0.007136392500249067,0.00010390984479981404
0.1225,0.00016536314450000413,-0.7852108500000003,3.203762635001967e-05,-2.355671325,9.197560040000276e-05,1.570979735,0.7859959350000001,0.04,0.04,-9.823785300000006,-0.0012289599282643607,0.0022467812950037118,8.655921839982506e-05,-0.007219963986423908,0.00011029867389979807
0.125,0.00016523232500000447,-0.7852008000000004,3.141524050002123e-05,-2.3556790499999996,9.188832200000298e-05,1.57097975,0.78599565,0.04,0.04,-9.823581000000006,-0.0013007586821888514,0.002129346250004005,9.209404799981123e-05,-0.007303535472598749,0.0001166875029997821
0.1275,0.00016510150550000477,-0.7851907500000004,3.079285465002278e-05,-2.3556867749999997,9.180104360000319e-05,1.570979765,0.785995365,0.04,0.04,-9.823376700000008,-0.0013725574361133418,0.002011911205004299,9.762887759979738e-05,-0.00738710695877359,0.00012307633209976613
0.13,0.0001649706860000051,-0.7851807000000004,3.017046880002434e-05,-2.3556945,9.171376520000341e-05,1.57097978,0.7859950800000001,0.04,0.04,-9.823172400000008,-0.0014443561900378322,0.0018944761600045927,0.00010316370719978354,-0.007470678444948431,0.00012946516119975016
0.1325,0.00016483986650000544,-0.7851706500000004,2.9548082950025896e-05,-2.3557022249999995,9.162648680000362e-05,1.570979795,0.785994795,0.04,0.04,-9.82296810000001,-0.0015161549439623228,0.0017770411150048863,0.00010869853679976971,-0.007554249931123273,0.00013585399029973419
0.135,0.00016467351400000792,-0.7851610100000004,2.8762754400037245e-05,-2.3557097599999994,9.151544160000528e-05,1.57097984,0.785994445,0.04,0.04,-9.82275180000001,-0.0015926107531378947,0.0016781433100038514,0.00011480414699972537,-0.007631225185465544,0.00014327827199965874
0.1375,0.00016448939500000807,-0.7851515750000004,2.7895954500037934e-05,-2.3557171999999995,9.139251300000537e-05,1.5709799,0.7859940625,0.04,0.04,-9.82252950000001,-0.0016713950899394522,0.0015885141250039226,0.00012119514749972029,-0.0077049023238909,0.00015122027999965243
0.14,0.0001643052760000082,-0.7851421400000005,2.7029154600038624e-05,-2.3557246399999996,9.126958440000548e-05,1.5709799599999998,0.78599368,0.04,0.04,-9.82230720000001,-0.0017501794267410094,0.001498884940003994,0.00012758614799971522,-0.007778579462316256,0.00015916228799964612
0.14250000000000002,0.00016412115700000835,-0.7851327050000004,2.6162354700039313e-05,-2.3557320799999997,9.114665580000557e-05,1.57098002,0.7859932975,0.04,0.04,-9.82208490000001,-0.0018289637635425667,0.0014092557550040652,0.00013397714849971014,-0.007852256600741613,0.0001671042959996398
0.145,0.0001639370380000085,-0.7851232700000005,2.529555480004001e-05,-2.3557395199999998,9.102372720000567e-05,1.57098008,0.785992915,0.04,0.04,-9.82186260000001,-0.0019077481003441231,0.0013196265700041374,0.000140368148999705,-0.007925933739166969,0.0001750463039996334
0.1475,0.00016375291900000866,-0.7851138350000004,2.44287549000407e-05,-2.3557469599999994,9.090079860000577e-05,1.5709801399999999,0.7859925325,0.04,0.04,-9.821640300000011,-0.0019865324371456804,0.0012299973850042087,0.00014675914949969991,-0.007999610877592326,0.0001829883119996271
0.15,0.0001635688000000088,-0.7851044000000005,2.356195500004139e-05,-2.3557543999999995,9.077787000000586e-05,1.5709802,0.78599215,0.04,0.04,-9.82141800000001,-0.002065316773947238,0.0011403682000042797,0.00015315014999969483,-0.008073288016017682,0.00019093031999962079
0.1525,0.0001633196935000121,-0.7850954855000004,2.2399047300056453e-05,-2.3557608649999997,9.060972000000815e-05,1.570980275,0.785991577,0.0399999985,0.0399999985,-9.821287200000006,-0.0021469139377546438,0.001060563220003874,0.00016083436049962697,-0.008140469249334594,0.00020058467999953134
0.155,0.0001630705870000123,-0.7850865710000005,2.1236139600057376e-05,-2.3557673299999995,9.044157000000829e-05,1.57098035,0.785991004,0.039999997,0.039999997,-9.821156400000007,-0.002228511101562184,0.0009807582400039377,0.00016851857099962086,-0.008207650482651195,0.00021023903999952366
0.1575,0.00016282148050001248,-0.7850776565000005,2.0073231900058302e-05,-2.3557737949999997,9.027342000000843e-05,1.570980425,0.785990431,0.0399999955,0.0399999955,-9.821025600000006,-0.002310108265369724,0.0009009532600040011,0.00017620278149961475,-0.008274831715967797,0.000219893399999516
