time,acc_x_g,acc_y_g,acc_z_g,gyro_x_rad_s,gyro_y_rad_s,gyro_z_rad_s
1765407861.429021,-8.573647,-4.872070,-0.722142,-0.008552,-0.003054,0.001222
1765407861.429221,-8.424796,-4.910927,-0.815399,-0.008552,-0.007025,0.001222
1765407861.429421,-8.577235,-4.884624,-0.632472,-0.008247,-0.009316,-0.000305
1765407861.429621,-8.656742,-4.911525,-0.511717,-0.011301,-0.010996,-0.001985
1765407861.429744,-8.638210,-4.930655,-0.588833,-0.010537,-0.003818,-0.000916
1765407861.429994,-8.497129,-4.955762,-0.695839,-0.008247,-0.003818,-0.001680
1765407861.430244,-8.374580,-5.008369,-0.823171,-0.007178,-0.006872,-0.003054
1765407861.430494,-8.254423,-4.844571,-0.852463,-0.011454,-0.004123,-0.015730
1765407861.430768,-8.439740,-4.270683,-0.246294,-0.019853,0.001222,-0.020311
1765407861.431018,-8.585604,-3.889287,0.139885,-0.021533,0.012065,-0.011606
1765407861.431268,-8.800812,-4.221664,0.349115,-0.030391,0.009927,0.000916
1765407861.431518,-8.800215,-4.525944,0.013152,-0.030696,0.006414,-0.002902
1765407861.431797,-8.888688,-4.481109,-0.172166,-0.036957,-0.004734,-0.011454
1765407861.431997,-9.103298,-4.363940,-0.046031,-0.044593,-0.004734,-0.013744
1765407861.432197,-9.265901,-4.202534,0.164395,-0.045968,0.001985,-0.010385
1765407861.432397,-9.142754,-4.460784,0.077714,-0.045204,-0.003665,-0.003971
1765407861.432597,-9.087756,-4.860712,-0.147657,-0.044746,-0.007636,-0.004429
1765407861.432783,-9.054877,-4.957556,-0.299498,-0.041386,-0.010232,-0.008705
1765407861.433033,-9.283834,-4.846962,-0.222979,-0.040470,-0.017104,-0.016952
1765407861.433283,-9.582136,-4.703490,0.052606,-0.035125,-0.010079,-0.025351
1765407861.433533,-9.266499,-4.406982,-0.349713,-0.028405,-0.003818,-0.024282
1765407861.433740,-9.175632,-4.311334,-0.509326,-0.028558,-0.010537,-0.019700
1765407861.433990,-9.432089,-4.692730,-0.254065,-0.027336,-0.015424,-0.014661
1765407861.434240,-9.788976,-4.710664,0.214012,-0.016952,-0.017104,-0.022602
1765407861.434490,-9.759085,-4.720229,0.123745,-0.018326,-0.014355,-0.024893
1765407861.434735,-9.588712,-4.777617,-0.108202,-0.015882,-0.017868,-0.025351
1765407861.434985,-9.557029,-4.814681,-0.028097,-0.013744,-0.019700,-0.025351
1765407861.435235,-9.557029,-4.814681,-0.028097,-0.013744,-0.034667,-0.025351
1765407861.435485,-9.848158,-4.503228,-0.115375,-0.017715,-0.037568,-0.032681
1765407861.435765,-9.961142,-4.818268,0.370636,-0.008399,-0.025045,-0.022297
1765407861.436015,-9.841581,-4.823050,0.359876,0.004734,-0.034361,-0.020922
1765407861.436265,-9.707077,-4.885819,0.004185,0.001222,-0.045509,-0.020617
1765407861.436515,-9.874461,-4.861310,0.008369,0.009010,-0.060323,-0.022144
1765407861.436868,-9.985053,-5.053802,0.037661,0.022449,-0.064599,-0.012981
1765407861.437118,-9.783595,-5.261238,-0.211621,0.028253,-0.070097,-0.012370
1765407861.437368,-9.683763,-5.158417,-0.255858,0.024587,-0.060323,-0.020311
1765407861.437618,-9.348397,-5.254662,-0.635461,0.034514,-0.060323,-0.016035
1765407861.437794,-9.456598,-5.074127,-0.545194,0.043830,-0.072082,-0.016035
1765407861.438044,-10.331181,-5.280966,0.841105,0.044440,-0.074067,-0.010690
1765407861.438294,-10.130917,-5.684481,0.412482,0.055131,-0.071471,-0.012981
1765407861.438544,-9.748923,-5.294715,-0.517695,0.060934,-0.084452,-0.017562
1765407861.438787,-9.355571,-5.567312,-0.795074,0.063835,-0.084452,-0.013744
1765407861.439037,-9.730989,-5.389765,-0.081301,0.077274,-0.085063,-0.013897
1765407861.439287,-9.839190,-5.594213,-0.025108,0.077733,-0.084910,-0.010385
1765407861.439537,-9.854136,-5.775944,-0.583453,0.093462,-0.093004,-0.008705
1765407861.439785,-9.301768,-6.076637,-1.166906,0.112399,-0.082161,-0.006109
1765407861.440035,-9.329267,-5.828550,-0.631277,0.127518,-0.082161,-0.012370
1765407861.440285,-9.329267,-5.828550,-0.631277,0.127518,-0.074984,-0.012370
1765407861.440535,-9.818267,-5.679101,-0.338355,0.134849,-0.087812,-0.014813
1765407861.440780,-9.780008,-5.474652,-0.405906,0.149967,-0.078954,-0.007025
1765407861.441030,-9.784193,-5.652797,-0.173960,0.169515,-0.071624,0.005956
1765407861.441280,-9.377091,-5.916426,-0.573888,0.171500,-0.076205,0.005192
1765407861.441530,-9.262314,-5.732902,-1.268532,0.175929,-0.087506,0.002443
1765407861.441807,-9.793160,-5.902678,-0.212817,0.186925,-0.084605,0.003818
1765407861.442057,-9.208511,-5.808225,-0.423242,0.204945,-0.071929,0.008705
1765407861.442307,-8.998684,-5.456718,-1.195600,0.201738,-0.083230,0.007025
1765407861.442557,-9.293399,-5.895504,-0.789694,0.194408,-0.084452,0.009163
1765407861.442994,-9.329865,-5.604973,-0.750837,0.216399,-0.089492,0.009774
1765407861.443244,-9.953967,-5.121951,-0.016738,0.213192,-0.063683,0.011301
1765407861.443494,-9.740554,-5.502152,-0.248685,0.214261,-0.063683,0.021533
1765407861.443744,-9.698708,-5.114777,-0.509923,0.228616,-0.079107,0.028711
1765407861.443813,-9.344213,-5.540411,-0.793878,0.216094,-0.082772,0.036957
1765407861.444063,-9.059061,-5.640841,-0.919416,0.218232,-0.078038,0.031307
1765407861.444313,-9.247966,-5.439382,-0.484218,0.224646,-0.079871,0.032223
1765407861.444563,-8.724294,-5.546389,-0.940937,0.229227,-0.079871,0.038485
1765407861.444825,-9.872667,-4.785987,0.187111,0.229991,-0.068570,0.038485
1765407861.445075,-8.695600,-5.541606,-1.261358,0.229991,-0.069486,0.053603
1765407861.445325,-9.366330,-4.829029,-0.439383,0.248011,-0.089339,0.053145
1765407861.445575,-9.052486,-5.823768,-0.666547,0.242208,-0.064752,0.068264
1765407861.445772,-9.088952,-5.574485,-0.613343,0.266185,-0.076664,0.056658
1765407861.446105,-9.088952,-5.574485,-0.613343,0.266185,-0.060170,0.056658
1765407861.446439,-8.796030,-5.319225,-0.964849,0.265115,-0.052687,0.065668
1765407861.446784,-9.556431,-5.156025,-0.058584,0.283441,-0.052687,0.074831
1765407861.447034,-9.556431,-5.156025,-0.058584,0.283441,-0.054520,0.074831
1765407861.447284,-9.540888,-5.621114,-0.229555,0.285732,-0.059559,0.078038
1765407861.447534,-9.395025,-5.596006,-0.002391,0.297491,-0.051618,0.082620
1765407861.447752,-9.045312,-5.609755,-0.754424,0.295506,-0.060323,0.073304
1765407861.448002,-9.329267,-5.124342,-0.394548,0.308640,-0.060323,0.080940
1765407861.448252,-9.405785,-5.548182,-0.001196,0.314901,-0.054062,0.089797
1765407861.448502,-8.746412,-5.210425,-1.083214,0.323148,-0.047037,0.088270
1765407861.448730,-8.671687,-4.940817,-1.220708,0.312305,-0.067042,0.086437
1765407861.448980,-9.205523,-4.616809,-0.197274,0.325438,-0.067806,0.092699
1765407861.449230,-8.867765,-4.551052,-0.728120,0.348804,-0.055283,0.119730
1765407861.449480,-8.888090,-4.979674,-0.130320,0.341932,-0.061850,0.119577
1765407861.449761,-8.556910,-5.430415,-1.058106,0.331394,-0.042455,0.115759
1765407861.450011,-8.329745,-4.822453,-1.690578,0.348957,-0.064904,0.117439
1765407861.450261,-9.296986,-4.640123,-0.428623,0.348193,-0.067959,0.127824
1765407861.450511,-9.232423,-5.299497,-1.049737,0.339183,-0.026573,0.141415
1765407861.450781,-9.409372,-5.267813,-0.161406,0.347124,-0.023671,0.127518
1765407861.451031,-8.723098,-4.815877,-0.596604,0.346666,-0.001833,0.132558
