time,acc_x_g,acc_y_g,acc_z_g,gyro_x_rad_s,gyro_y_rad_s,gyro_z_rad_s
1765407896.396039,7.805791407487792,-4.747423329171625,3.3911431002447467,-0.00974908471256874,0.010422565693453392,-0.005659281872173449
1765407896.396289,5.374250034280005,-4.791468634014581,3.4184924809521546,-0.009347353400921266,0.008550019540424201,-0.0038824046680695297
1765407896.396539,2.998667349771654,-4.835575078426208,3.4459280392229394,-0.008902517622546915,0.006636433201820913,-0.0021001757138748396
1765407896.396789,0.7314302089158956,-4.879929353702696,3.47400871302498,-0.008386122393846288,0.004674884494736229,-0.00030849108226707725
1765407896.396995,-1.3807640636570524,-4.924676465020971,3.5031111529173065,-0.007774785794805366,0.00265534257063264,0.0014976457969402394
1765407896.397195,-3.29909199740763,-4.96989077584401,3.5333943113093556,-0.007051637854024758,0.000565262128950415,0.003323254466176707
1765407896.397395,-4.994133016685359,-5.015551332450481,3.5647793474021183,-0.006207441330860709,-0.0016091551153292404,0.005172637241770722
1765407896.397595,-6.44669157093971,-5.061524485767558,3.596947076229962,-0.005241311794080836,-0.0038811310062649013,0.007048850855278663
1765407896.397795,-7.647933276623777,-5.107556866853629,3.6293543483510344,-0.004160963713760352,-0.0062611061585496255,0.008953442888311016
1765407896.397933,-8.598908679592231,-5.153281130125551,3.661269377721876,-0.002982425194869459,-0.008754409351922064,0.010886459718046798
1765407896.398183,-9.30957280828774,-5.19823540615049,3.6918244542205993,-0.0017291854113404424,-0.011359071910359899,0.012846677968655129
1765407896.398433,-9.797427533366763,-5.241895178571851,3.7200827435180375,-0.00043076950196220743,-0.01406404579745149,0.014831965068087514
1765407896.398683,-10.085919199946733,-5.283713839484474,3.745113924525916,0.0008792186224042379,-0.01684804749992142,0.01683965519098012
1765407896.398922,-10.202718748844129,-5.323166291624664,3.7660717315184424,0.00216548494725194,-0.019679198841930493,0.018866843761445207
1765407896.399122,-10.177998590161247,-5.359789335375027,3.78226583249476,0.0033937001975449595,-0.02251557175810646,0.020910549739303237
1765407896.399322,-10.042802493227441,-5.3932134874115,3.7932210129321025,0.004533201156536466,-0.02530666260074879,0.022967750751798188
1765407896.399522,-9.827583867860353,-5.423183074818208,3.7987178673156397,0.005559488552318778,-0.027995727549022867,0.02503533885196416
1765407896.399722,-9.560966066419555,-5.449564085100176,3.798810955764491,0.0064562748319804564,-0.030522818537327256,0.02711005715822424
1765407896.399891,-9.268757591060131,-5.472341201369207,3.7938228647982095,0.007216872745097788,-0.03282828070392576,0.029188458898044778
1765407896.400141,-8.97323651644924,-5.491606069648451,3.7843156505894813,0.007844778967049538,-0.03485641371992839,0.03126689966518996
1765407896.400391,-8.692702426330253,-5.507538508522719,3.771044051370661,0.008353383671992377,-0.036558968901492815,0.033341557163544394
1765407896.400641,-8.441280754120571,-5.520382100618119,3.754896939828497,0.008764819349065407,-0.037898163977365895,0.035408480261049646
1765407896.400898,-8.228953644041704,-5.53041605051179,3.7368342909277006,0.009108046940448648,-0.03884895303146896,0.03746368575770908
1765407896.401148,-8.061783412504273,-5.537926049941593,3.7178263131578384,0.009416356777285117,-0.03940038013153173,0.03950332369319698
1765407896.401398,-7.942289540466116,-5.543177332439749,3.6987997225022844,0.009724519290012614,-0.039555949714581755,0.04152391221130168
1765407896.401648,-7.869937879164708,-5.546392617839672,3.680594215762071,0.010065840115476168,-0.039333043280147466,0.043522613054704604
1765407896.401888,-7.841701063993174,-5.54773639031761,3.6639305456427587,0.01046935446401966,-0.03876148794075327,0.045497498137724635
1765407896.402138,-7.852651454595186,-5.547305491615553,3.6493902774877864,0.010957350619497165,-0.03788143638888153,0.04744775973739692
1765407896.402388,-7.896551833741952,-5.545125011680527,3.637406373538143,0.011543359633127491,-0.036740753879790145,0.04937384325822375
1765407896.402638,-7.966414283004592,-5.541148392368005,3.6282632937954418,0.012230698453076522,-0.03539212897161407,0.05127752056732403
1765407896.403508,-8.05500363905658,-5.535261430837453,3.6221050428929664,0.013011612393325822,-0.0338901310747632,0.05316195154188284
1765407896.403758,-8.155268245925564,-5.5272907308184624,3.6189491754877863,0.013867032987118387,-0.032288427651749094,0.05503178219263672
