time,j1,j2,j3,j4,j5,j6,j7,gripper1,gripper2,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,quat_x,quat_y,quat_z,quat_w
1006.5833333327465,0.00016700293,-0.785875,4.0107683e-05,-2.3551247,9.29385e-05,1.570997,0.786,0.04,0.04,0.0,-0.0,0.0,2.875329272945135e-08,-0.0011641195053377316,4.421952117202833e-08,0.9999995971961153,0.00020320632366974898,0.0008736418299892524,3.263050917662294e-05
1006.5999999994132,0.00016700274,-0.78576016,4.011801e-05,-2.3552213,9.2964605e-05,1.5709941,0.786,0.04,0.04,-0.2919984607583803,-2.894635698128499e-05,0.020128409692810045,-1.8792082441810338e-07,-0.0022381871525831553,-5.992230425195166e-07,0.9999996850589042,0.0002032075132063841,0.0007665025211210459,3.259883739145845e-05
1006.6166666660798,0.00016698142,-0.78565425,4.015129e-05,-2.35531,9.292319e-05,1.5709913,0.786,0.04,0.04,0.02326284503588738,4.630805208537367e-05,-0.001636566052276578,-2.1380225973230006e-06,-0.003226558868123321,-5.268785407262512e-06,0.9999997558669088,0.00020321078110146416,0.0006677674724320808,3.2528509284915426e-05
1006.6333333327465,0.00016690498,-0.7855569,4.0246105e-05,-2.355391,9.270795e-05,1.5709884,0.786,0.04,0.04,0.0224607311229974,0.00011745365353718487,-0.001524898138161035,-7.572285052275037e-06,-0.004133768626433971,-1.7655420850883276e-05,0.9999998122830196,0.00020321950260918353,0.0005771386898725148,3.235261895417177e-05
1006.6499999994131,0.00016672508,-0.7854672,4.0457784e-05,-2.3554652,9.216496e-05,1.5709856,0.786,0.04,0.04,0.02018954167128939,0.00022015830095487477,-0.001289837063955801,-1.798457102051484e-05,-0.0049630522173681095,-4.107796978905054e-05,0.9999998569256967,0.0002032383169209941,0.0004937817487587374,3.197432237236318e-05
1006.6666666660798,0.00016638025,-0.78538465,4.085672e-05,-2.3555324,9.1103204e-05,1.5709827,0.786,0.04,0.04,0.019661307681739792,0.00034714995262984257,-0.0010082883785900165,-3.488404234526194e-05,-0.0057199417714085534,-7.854244312021616e-05,0.9999998917153157,0.00020327304819681827,0.0004174582795148436,3.127314613961188e-05
1006.6833333327464,0.00016579744,-0.7853086,4.1526513e-05,-2.3555973,8.930174e-05,1.5709798,0.7859981,0.04,0.039999995,0.01123656366393,0.000494296039637329,-0.0026527796787245705,-6.034766596220375e-05,-0.006406776254844291,-0.00013197406282300752,0.9999999193572762,0.00020237710888668548,0.0003455755653701382,3.010773051489886e-05
1006.6999999994131,0.0001648933,-0.7852385,4.2563297e-05,-2.3556557,8.647378e-05,1.5709797,0.7859962,0.04,0.04,0.018401445036131392,0.0006855292409196738,0.0015134385512816095,-8.686239096925259e-05,-0.007044724332082784,-0.0002060879060083703,0.9999999397415942,0.00020151170861107545,0.0002812628879488478,2.8302419577262732e-05
1006.7166666660797,0.00016357495,-0.785174,4.4073677e-05,-2.355711,8.2338505e-05,1.5709797,0.7859943,0.04,0.04,0.011500243743101102,0.0008722276628271087,-0.0017244311468767037,-0.00012502986824709558,-0.007604352073334341,-0.00030067380034699945,0.999999955032567,0.000200685572050197,0.00022136126915310228,2.567788142883581e-05
1006.7333333327464,0.00016174134,-0.78511465,4.6173962e-05,-2.3557615,7.657624e-05,1.5709798,0.7859905,0.04,0.04,0.013809050058632977,0.001084436413525242,-0.0007019856953727199,-0.00017613686666394324,-0.00811443104303507,-0.0004184484219001682,0.9999999661102575,0.00019895428203135784,0.00016646685139349532,2.2033266580098474e-05
