time,acc_x,acc_y,acc_z,ang_vel_x,ang_vel_y,ang_vel_z,quat_w,quat_x,quat_y,quat_z
0.097500000,-1.448002952,0.319741168,-0.621909002,-0.000309650,-0.037761511,-0.027936888,0.001365263,0.925263251,0.379309017,0.003274501
0.100000000,-0.029753213,0.125542126,-0.006726442,-0.000187802,-0.032427936,-0.040695185,0.001378817,0.925271349,0.379288939,0.003305979
0.102500000,1.399833643,-0.068780586,0.608417578,-0.000391872,-0.046525158,-0.026813949,0.001394440,0.925278730,0.379270559,0.003342342
0.105000000,2.022183436,-0.205943764,0.873712222,-0.000432242,-0.073398417,-0.047174625,0.001419836,0.925285643,0.379253067,0.003402033
0.107500000,1.419595485,-0.240327766,0.609486988,-0.000614247,-0.100194146,-0.047332378,0.001459068,0.925300049,0.379216924,0.003494973
0.110000000,0.009774001,-0.170551464,-0.006526295,-0.000609843,-0.114100631,-0.059565110,0.001508017,0.925313212,0.379183526,0.003611096
0.112500000,-1.386670939,-0.014844141,-0.624101962,-0.000486297,-0.108454347,-0.068680771,0.001558785,0.925335343,0.379128141,0.003731776
0.115000000,-1.953943080,0.173100190,-0.891826348,-0.000402882,-0.089598632,-0.060935443,0.001603363,0.925353779,0.379081899,0.003837523
0.117500000,-1.275502698,0.335293683,-0.628922823,-0.000166877,-0.070038165,-0.070717883,0.001637511,0.925375227,0.379028566,0.003918386
0.120000000,0.228030032,0.426819754,-0.013685951,-0.000301972,-0.062367524,-0.047095674,0.001664828,0.925391544,0.378987938,0.003982752
0.122500000,1.734388498,0.417238764,0.602155797,-0.000305998,-0.072914161,-0.054236688,0.001692741,0.925403204,0.378958645,0.004048391
0.125000000,2.422988533,0.317537300,0.867216678,-0.000643118,-0.095239043,-0.033083607,0.001728533,0.925412523,0.378934816,0.004132788
0.127500000,1.874419545,0.152039991,0.601358397,-0.000726304,-0.116577273,-0.038877080,0.001775758,0.925414449,0.378928662,0.004244288
0.130000000,0.504290415,-0.030910936,-0.017719999,-0.000769715,-0.124356511,-0.037545546,0.001829919,0.925420452,0.378912286,0.004372494
0.132500000,-0.868886683,-0.181466913,-0.638040082,-0.000615060,-0.112107473,-0.041694765,0.001882803,0.925422553,0.378905431,0.004497501
0.135000000,-1.428885234,-0.262634955,-0.906521942,-0.000210581,-0.086412271,-0.061608696,0.001926195,0.925433485,0.378877281,0.004600066
0.137500000,-0.761558067,-0.247517290,-0.642105229,-0.000020752,-0.060013326,-0.059784675,0.001955731,0.925445679,0.378846493,0.004669490
0.140000000,0.715906128,-0.146357139,-0.023492258,0.000362394,-0.045747143,-0.085767503,0.001975144,0.925464605,0.378799595,0.004714901
0.142500000,2.181199702,0.017269993,0.595693304,0.000238403,-0.050173520,-0.075201991,0.001991848,0.925486833,0.378744708,0.004753939
0.145000000,2.816138380,0.194871156,0.862571020,0.000281259,-0.067055089,-0.089284530,0.002013694,0.925507757,0.378692813,0.004805240
0.147500000,2.202993137,0.333852847,0.597139952,0.000042835,-0.083857947,-0.075778183,0.002044316,0.925530950,0.378635036,0.004877634
0.150000000,0.758081391,0.394852162,-0.022408977,0.000004963,-0.088102543,-0.072022806,0.002080113,0.925545830,0.378597367,0.004962123
0.152500000,-0.698571538,0.349872858,-0.642450730,0.000110038,-0.073537493,-0.068371994,0.002113066,0.925562293,0.378555909,0.005039876
0.155000000,-1.347572432,0.213994058,-0.909040010,0.000197406,-0.046719827,-0.055325971,0.002135897,0.925570758,0.378534371,0.005093108
0.157500000,-0.772790195,0.020894095,-0.641750537,0.000575485,-0.020534738,-0.070087753,0.002144598,0.925582059,0.378506426,0.005112623
