time,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,ang_vel_x,ang_vel_y,ang_vel_z,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6
0.0,0.40789534536406974,-0.16147232287563718,0.31092173156834596,0.00042356675300449616,-0.9238161737551739,-0.38283608148849413,-0.00018002802872141933,0.0,0.0,0.0,0.0003397213285266139,0.0008200219415234939,-0.00024415007148286075,0.0,0.0,0.0,-0.30987624100000066,-0.30773173900000006,-0.06453369399999993,-2.449034868999992,-0.022190910999999945,2.141465840381012,-0.3597216600000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0010002000400080016,0.4078953453867248,-0.16147232282095267,0.3109217315520644,0.0004235667449725336,-0.9238161737497941,-0.38283608150148657,-0.00018002802570596778,3.397213285266139e-07,8.20021941523494e-07,-2.4415007148286073e-07,0.0006791707965868699,0.0016393876689441542,-0.00048810476575677803,-2.571583662245162e-07,-8.866428398434146e-09,4.2173503417474496e-07,-0.3098762410929819,-0.3077317389772582,-0.06453369377739931,-2.449034869028846,-0.022190910937845247,2.1414658404358993,-0.3597216599420384,-1.394299731611384e-06,3.410255103070415e-07,3.338007615280166e-06,-4.3267809857192e-07,9.32040762284227e-07,8.230600063812996e-07,8.691721236384049e-07,-0.013937419559244327,0.003408890864564397,0.0333667227866032,-0.004325050100184417,0.009316679086827642,0.008227307494431726,0.008688244200081524
0.002000400080016003,0.4078953455452545,-0.16147232243829215,0.3109217314381325,0.00042356668876837247,-0.9238161737121479,-0.38283608159240234,-0.00018002800460482386,1.3583415931737398e-06,3.2787753378883085e-06,-9.76209531513556e-07,0.001357662057285345,0.0032771350992622313,-0.0009757211820782789,-1.0282218839841702e-06,-3.5451520211798284e-08,1.6862651572745666e-06,-0.30987624174362716,-0.3077317388181198,-0.06453369221972932,-2.4490348692307538,-0.02219091050291157,2.1414658408199774,-0.3597216595364422,-5.574967377432581e-06,1.3635562366757697e-06,1.334668804626521e-05,-1.7300199015890837e-06,3.7266713364183623e-06,3.290922734340813e-06,3.4752974018419022e-06,-0.027858107522379116,0.0068136894231689326,0.06669338948342657,-0.008644908063393823,0.018622173684955612,0.016444738269182264,0.017366058335096923
0.0030006001200240046,0.40789534597538446,-0.16147232140004067,0.3109217311290077,0.00042356653627270734,-0.9238161736100043,-0.3828360818390791,-0.0001800279473522759,3.055045443097304e-06,7.374292140047957e-06,-2.195592435639419e-06,0.0020353381145399984,0.004912914877092451,-0.0014627517837074156,-2.312573351577303e-06,-7.973398081998239e-08,3.7925782006545833e-06,-0.3098762435089868,-0.3077317383863384,-0.06453368799338985,-2.449034869778579,-0.022190909322830184,2.1414658418620753,-0.35972165843596043,-1.2538656618643563e-05,3.0667737180125066e-06,3.0018030075961283e-05,-3.8909869817812e-06,8.381654824931114e-06,7.4016128401795324e-06,7.81628982184779e-06,-0.04176207058606081,0.010214397313718733,0.09998001612252524,-0.012959575967729868,0.027916488270865278,0.024652296277311317,0.02603344657957694
0.004000800160032006,0.40789534681267725,-0.161472319378977,0.3109217305272642,0.0004235662394238621,-0.9238161734111714,-0.38283608231926064,-0.00018002783590456706,5.429017822253737e-06,1.310460509207321e-05,-3.901713098928387e-06,0.002712199255300123,0.006546727796860746,-0.0019491968363648576,-4.10959577968857e-06,-1.4169249985866933e-07,6.739662393315228e-06,-0.3098762469454419,-0.3077317375458313,-0.06453367976638305,-2.449034870844977,-0.022190907025679735,2.141465843890627,-0.3597216562937589,-2.2282022476023512e-05,5.449859820870128e-06,5.334402569442697e-05,-6.9145413275814484e-06,1.4894755225826558e-05,1.3153155770968547e-05,1.3890064205966528e-05,-0.05564931544694584,0.013611016174118928,0.13322661873595437,-0.017269055891294204,0.03719962732103801,0.0328499854718786,0.03469041310805233
0.005001000200040008,0.4078953481925321,-0.16147231604827306,0.3109217295355937,0.00042356575021848216,-0.9238161730834956,-0.3828360831105979,-0.00018002765223903503,8.47944395369755e-06,2.046774773376945e-05,-6.093986108369134e-06,0.003388245750845752,0.008178574655604828,-0.0024350566181452126,-6.418672374150628e-06,-2.2130573916020237e-07,1.0526506358152484e-05,-0.3098762526087046,-0.3077317361606793,-0.06453366620831265,-2.4490348726023967,-0.022190903239986074,2.1414658472336705,-0.3597216527634204,-3.4801721309950816e-05,8.511996739448067e-06,8.33166700987733e-05,-1.0799645343126481e-05,2.3263737432584144e-05,2.0543577764549043e-05,2.1694536211581744e-05,-0.06951984880169064,0.017003547642274644,0.1664332133557691,-0.021573349912188483,0.04647159531195517,0.04103780980594381,0.04333696209505382
0.006001200240048009,0.407895350250185,-0.16147231108149415,0.3109217280568044,0.00042356502071057956,-0.9238161725948623,-0.38283608429064775,-0.00018002737835517234,1.2205509323945242e-05,2.9461754403282866e-05,-8.771826335218812e-06,0.004063477856853918,0.009808456252963196,-0.002920331419464734,-9.239186518778586e-06,-3.185523207454335e-07,1.5152099108224042e-05,-0.30987626105381816,-0.3077317340951269,-0.06453364599038335,-2.4490348752230786,-0.022190897594722068,2.1414658522188508,-0.35972164749894453,-5.009441082040306e-05,1.2252366995592306e-05,0.00011992796169316373,-1.5545261848256417e-05,3.3486367234158675e-05,2.9570905849532293e-05,3.122762233115021e-05,-0.08337367734695166,0.020391993356091005,0.19959981601402457,-0.025872460108514354,0.05573239672009813,0.04921577323256667,0.051973097715112174
0.007001400280056011,0.40789535312070974,-0.16147230415259883,0.3109217259938224,0.000423564003012085,-0.9238161719131953,-0.3828360859368741,-0.00018002699627402515,1.6606399667405385e-05,4.008466023969584e-05,-1.1934648947298603e-05,0.004737895813464759,0.011436373391164092,-0.0034050215430090998,-1.257052175827714e-05,-4.3341081486629067e-07,2.061543004303107e-05,-0.3098762728351575,-0.307731731213582,-0.06453361778540015,-2.4490348788790555,-0.022190889719307428,2.1414658591734166,-0.3597216401547476,-6.815675004695705e-05,1.667015343879539e-05,0.0001631699020888142,-2.115035407851485e-05,4.556041131498035e-05,4.0233167845299683e-05,4.248723989220191e-05,-0.09721080777938533,0.023776354953473137,0.23272644274277593,-0.030166388558373468,0.06498203602194827,0.05738387970480688,0.06059882414275812
0.008001600320064013,0.40789535693901663,-0.16147229493593862,0.3109217232496902,0.0004235626492926889,-0.9238161710064572,-0.3828360881266472,-0.000180026488038169,2.168130095087476e-05,5.233450118561105e-05,-1.5581869421237012e-05,0.005411499845347483,0.013062326875014484,-0.0038891273036812915,-1.6412061781220085e-05,-5.658597280991693e-07,2.691548894481611e-05,-0.3098762885064294,-0.307731727380616,-0.06453358026776775,-2.4490348837421534,-0.02219087924360853,2.141465868424223,-0.3597216303856626,-8.89853993687888e-05,2.176453924619641e-05,0.000213034496103993,-2.761388568514884e-05,5.948363725495471e-05,5.252839236200267e-05,5.547130705733993e-05,-0.11103124679564809,0.027156634072326175,0.26581310957407833,-0.03445513733986748,0.07422051769398694,0.06554213317572415,0.06921414555252242
0.009001800360072015,0.40789536183985375,-0.1614722831062577,0.3109217197275675,0.0004235609117795802,-0.9238161698426492,-0.38283609093724413,-0.0001800258357122932,2.7429399358100352e-05,6.620931398972481e-05,-1.9712903554661186e-05,0.006084290161766208,0.014686317511889039,-0.004372649028549583,-2.0763190403102455e-05,-7.158774914889853e-07,3.405126597487628e-05,-0.3098763086206725,-0.3077317224609636,-0.06453353211348989,-2.4490348899839907,-0.02219086579793823,2.141465880297731,-0.3597216178469387,-0.00011257702050467354,2.7534707922581017e-05,0.00026951375176402097,-3.4934820735108925e-05,7.525381352946269e-05,6.645460880056284e-05,7.017774282424056e-05,-0.12483500109239638,0.030532832350555237,0.2988598325399869,-0.03873870853109803,0.08344784621269552,0.07369053759837818,0.07781906611893581
