time,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,temp_c,t_norm
0.0,-9.55982273467102,-0.017153641182997885,0.10216618839348812,0.007499486286633853,0.011537436699418787,-0.015434462534694333,25.0,0.0
0.0025,-9.564257605381249,0.02879288264861144,0.07568156511073271,0.01151132836384376,-0.0012816579370944245,-0.0006785331942352189,25.000124999739583,0.0025
0.005,-9.629526479700525,0.02234793754553837,0.05793640032707238,0.007154019740765683,-0.0032757344001804077,-0.00198621039275237,25.000249998958335,0.005
0.0075,-9.664147256493345,0.008167724200662963,-0.002812844339397262,-0.003507312038510625,0.0049088279085656595,0.0023050984729744684,25.00037499765626,0.0075
0.01,-9.671247749406271,-0.02570350110518512,0.047140438705713966,0.0077267707051786386,-0.00411500582418008,-0.0034874047947350685,25.000499995833355,0.01
0.0125,-9.766124335001921,0.044313341287159275,-0.019603894148500167,-0.0014879629499257084,-0.008408694810021513,0.011462088253285275,25.00062499348963,0.0125
0.015,-9.823064999676031,0.006606886091002002,-0.05595426552752808,0.006189540364072887,0.010630369031362578,-0.002185343294973772,25.000749990625078,0.015
0.0175,-9.794503038469285,0.060756516485672,0.07229454727997513,-0.008294656513206204,-0.007583570411452127,-0.0004040931870836874,25.000874987239705,0.0175
0.02,-9.787810813783587,0.007575960032251293,0.06370969737106974,0.014033429460049079,-0.009514187868853429,0.0006935742787713881,25.000999983333518,0.02
0.0225,-9.794169517737688,0.01561204889789746,-0.00772581965329917,0.009963347666214423,0.003999586195534341,0.009205087575875917,25.001124978906514,0.0225
0.025,-9.864669454043712,-0.053282278601845603,0.03508987171862249,0.009857067016516303,-0.007826177162268506,0.007700635929556304,25.001249973958696,0.025
0.0275,-9.927805894238794,-0.023852422307255542,0.009407728776248906,-0.001129481092994413,0.0019687197955654493,0.016179455147691764,25.001374968490065,0.0275
0.03,-9.798935298168633,0.06412580072545475,0.050827264575501525,-0.004954408716361733,-0.0005357688374549329,-0.0020869078706621212,25.001499962500628,0.03
