time,j1,j2,j3,j4,j5,j6,j7,gripper1,gripper2,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,quat_x,quat_y,quat_z,quat_w
2829.8333333417545,0.00016700293,-0.785875,4.0107683e-05,-2.3551247,9.29385e-05,1.570997,0.786,0.04,0.04,0.0,-0.0,0.0,2.875329272945135e-08,-0.0011641195053377316,4.421952117202833e-08,0.9999995971961153,0.00020320632366974898,0.0008736418299892524,3.263050917662294e-05
2829.8500000084214,0.00016701655,-0.78576016,4.010469e-05,-2.3552213,9.296722e-05,1.5709941,0.786,0.04,0.04,-0.29199845953296055,-3.0391888341960377e-05,0.02012840888325762,-6.937935900972467e-07,-0.0022376292369208164,9.560787338997562e-08,0.9999996850591554,0.000203205319623479,0.0007665025187843675,3.26048569488719e-05
2829.8666666750883,0.00016710421,-0.7856542,4.003285e-05,-2.35531,9.294624e-05,1.5709913,0.786,0.04,0.04,0.02319697831980605,3.643713503596272e-05,-0.0016027123896034112,-5.335677396526171e-06,-0.0032222950754678607,2.1224791704513407e-07,0.9999997558890481,0.0002031912747957089,0.0006677376493799673,3.2581922571416315e-05
2829.883333341755,0.00016738629,-0.7855566,3.9779774e-05,-2.355391,9.2798604e-05,1.5709884,0.786,0.04,0.04,0.02226312281168319,9.365728424264269e-05,-0.0014234079359187746,-1.799479748055471e-05,-0.0041206222062371576,4.5889754616253986e-07,0.9999998123776186,0.00020314377949611184,0.0005769895966984757,3.256283198614397e-05
2829.900000008422,0.00016803465,-0.7854666,3.9184597e-05,-2.3554652,9.242384e-05,1.5709856,0.786,0.04,0.039999995,0.020123699192420297,0.00016878262616912276,-0.0012561400973387649,-4.2115365965555284e-05,-0.004932432319651938,1.6560034882412602e-06,0.9999998570957594,0.00020303383276757601,0.0004934835005826434,3.255392272230183e-05
2829.916666675089,0.00016926732,-0.7853832,3.8042606e-05,-2.355532,9.167148e-05,1.5709827,0.7859981,0.04,0.039999995,0.01987890780066337,0.000281778641927536,-0.0004909114914575241,-8.159099314453233e-05,-0.0056621272842098495,2.289328581004681e-06,0.9999998921576351,0.00020187115063636683,0.0004169809768503375,3.255182800830847e-05
2829.9333333417558,0.000171344,-0.7853061,3.610987e-05,-2.3555968,9.0362584e-05,1.5709798,0.7859962,0.04,0.04,0.010162640080069174,0.000417108938374983,-0.0027309737075764673,-0.00013090374154770747,-0.0063056107759183674,2.470714134886163e-06,0.9999999199955303,0.00020056599982537322,0.00034456137008448943,3.2552648983960745e-05
2829.9500000084226,0.00017456088,-0.78523415,3.3106873e-05,-2.355655,8.832865e-05,1.5709769,0.7859943,0.04,0.039999995,0.017042725129545744,0.0005448787675921794,-7.24816746622281e-05,-0.0002022810790079823,-0.006888405153264091,4.563226130088101e-06,0.999999941009752,0.0001990689830360465,0.000278012813948671,3.257158155750139e-05
2829.9666666750895,0.00017924786,-0.78516716,2.8722936e-05,-2.3557067,8.534519e-05,1.5709739,0.7859905,0.04,0.039999995,0.01641085125132502,0.000714628325986118,5.1995382399638856e-05,-0.00029882202900640884,-0.007388537044036175,6.225760391677089e-06,0.9999999566090991,0.00019637134009015478,0.00021715652531575715,3.260583105071119e-05
2829.9833333417564,0.00018576406,-0.7851042,2.2619422e-05,-2.3557568,8.116867e-05,1.5709705,0.78598475,0.04,0.04,0.007205012404298827,0.0008998304894514066,-0.0018371661895777436,-0.00041478260356103615,-0.007804187766744904,7.5521840148974205e-06,0.9999999683177516,0.00019241337339414376,0.0001589824667919825,3.2652178798094845e-05
