time,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,t_norm
0.0,-9.499354736585078,-0.028719617885321617,0.05010256506141161,-0.0017898818579025158,-0.005642462316428745,0.0016107744570503868,0.0
0.0025,-9.585960876467164,0.02832641933164746,0.11146397978509368,0.0025051170011361314,-0.015559287126153537,0.0031968217050838393,0.0025
0.005,-9.62185504825487,0.046076820502843285,0.07489068199619928,0.002524065570596378,-0.0009594303949115851,-0.002845301891751477,0.005
0.0075,-9.587269345948368,-0.04471536646743387,0.08006508935781963,0.00387769730116758,-0.004669010445824752,0.0003795437875610703,0.0075
0.01,-9.774061250288321,-3.167243602359218e-05,0.06734723452312157,0.002250288151088519,-0.0008024392358112929,-0.011120886400322787,0.01
0.0125,-9.764786614887194,-0.040128251901934364,0.05034517318599814,-0.0023624970775356045,-0.0042330264872616225,0.0007992498858290573,0.0125
0.015,-9.769091429001277,0.013732515138885269,0.07514953254453152,-0.003923189767902467,-0.005754647558790296,0.0033011448488270765,0.015
0.0175,-9.823079352580649,-0.013470592268735562,0.04215744853902526,-0.003401607262601626,-0.005511182356241046,0.0031036550447768965,0.0175
0.02,-9.802756146670104,-0.0394639764001821,0.005625296278705356,0.0032217102001419117,-0.005731897667124412,-0.0003121602967399417,0.02
0.0225,-9.86766949397714,-0.04662993590164877,-0.0795695543066377,0.0029569173459230926,-8.4568414932985e-05,0.009197108843402125,0.0225
0.025,-9.89207209270477,0.041522398999565606,-0.021614277734040198,-0.0016467963360574328,0.005271533734890318,-0.005001073703754604,0.025
0.0275,-9.923518752097069,-0.055700337101406205,0.06253788180192271,0.0003789782363815739,-0.002036882297688948,0.006192190261266467,0.0275
0.03,-9.800085305604362,-0.001276800143326832,0.036693123789192955,-0.00014148133974098542,-0.007768189135669314,0.008260437211550314,0.03
0.0325,-9.825618604733492,0.008645056619245499,0.05973436604135534,-0.002701949921811878,-0.006136619963445876,0.015643373166032454,0.0325
0.035,-9.789078502012712,-6.3555536184024125e-06,0.02725047024044734,0.004680590368344512,-0.00447564722161348,-0.0023930563290642227,0.035
0.0375,-9.85591876409851,-0.008928030337657523,-0.004667702087515188,0.0003171904579672824,-0.006860143716654442,-0.005076644950470066,0.0375
0.04,-9.797071172162411,-0.021344223743289106,0.02737169303572985,-0.001773249716647148,-0.007406362049794987,-0.0005194248496005363,0.04
0.0425,-9.820322333596687,-0.07906169399514,0.0014339826127453721,-0.016153221047571595,-0.008139986247484755,-0.00021287127015078445,0.0425
0.045,-9.866145320565263,0.028275778646778407,0.08231259970838639,0.010602949942430903,-0.004217751463574086,-0.0030830243565613848,0.045
0.0475,-9.760475990160204,-0.05206417360171105,0.0374852262845307,0.0018692620703745647,-0.006650334154142602,0.002873630579414875,0.0475
0.05,-9.847228803416268,-0.030566381628162824,0.010113289269978471,-0.011652194129021982,-0.010554998985712919,0.003898446937749033,0.05
0.0525,-9.837489962875903,0.012486431837770354,0.024593548333749146,-0.004803593702077179,0.00214292549416819,0.007215414034750631,0.0525
0.055,-9.824172540754256,0.04025042610428631,0.0003099815046519595,0.0033712436361187825,-0.006072706698303352,0.004540008238884294,0.055
0.0575,-9.898867308449656,0.008224743822059906,0.02751187769852537,0.0028712264319271474,0.004155651942839041,0.008226972168663952,0.0575
0.06,-9.846259643792829,-0.023704831382249478,-0.015500256446052203,-0.0037685669550769543,-0.0015877835561318274,0.00507707179903178,0.06
0.0625,-9.868143980416585,-0.03619615829110597,-0.022917688704828215,0.0013272062734225958,-0.00010597261041244915,-0.0041770523114180785,0.0625
0.065,-9.82872833472628,-0.030174812993631683,-0.004340078721402606,0.002825526996147084,-0.009185577425285243,0.00648660423551392,0.065
0.0675,-9.769170566678829,-0.05381668479915371,-0.016266619878672523,0.005862330027286705,0.0019048548802886903,0.0025423593237037497,0.0675
0.07,-9.886825053008502,-0.04994581276183638,0.01846589804989196,-0.004445390244029787,-0.005895059585756527,-0.0122376970724599,0.07
0.0725,-9.809759212661834,-0.010295131285945287,0.019486963854779348,-0.0030995907721536506,-0.013833608938435271,0.0008823815370814844,0.0725
0.075,-9.849188281883027,0.02721148048950146,-0.022703519157998498,0.00503855896006688,-0.00937595121074468,-0.004367817118094326,0.075
0.0775,-9.833057512440561,0.03586945433301528,-0.004094211331135579,-0.004141304518230758,-0.005147578478891253,0.0002451363232162047,0.0775
0.08,-9.819177072637938,-0.010282790460596372,-0.02288376250969152,-0.002430664595527411,-0.003932628897864473,-0.00762355721340392,0.08
0.0825,-9.795333518626464,-0.024924687925522878,-0.06981471080095743,-0.005680180478804006,-0.005700258450790683,0.004300541963204538,0.0825
