time,acc_x_g,acc_y_g,acc_z_g,gyro_x_rad_s,gyro_y_rad_s,gyro_z_rad_s
1765828956.228691,9.975489,-0.111789,0.285151,-0.010079,-0.011148,0.000611
1765828956.228941,-10.075322,-0.130918,0.438785,-0.008247,-0.006872,-0.001527
1765828956.229191,-10.018531,-0.123147,0.365854,-0.006872,-0.006872,-0.002902
1765828956.229441,-9.959349,-0.090866,0.184720,-0.003360,-0.011912,-0.001985
1765828956.229778,-9.966521,-0.076518,0.253467,-0.004887,-0.008399,-0.000611
1765828956.229978,-10.035867,-0.035868,0.436992,-0.008094,-0.008399,0.000458
1765828956.230178,-10.035867,-0.035868,0.436992,-0.008094,-0.008399,0.000458
1765828956.230378,-9.925274,-0.012554,0.207437,-0.006567,-0.008858,-0.000764
1765828956.230578,-9.875058,0.013152,0.221784,-0.006567,-0.010232,-0.003512
1765828956.230733,-9.921686,0.034075,0.304878,-0.007941,-0.009010,0.000305
1765828956.230933,-10.001194,0.031086,0.422047,-0.005345,-0.009010,-0.000916
1765828956.231133,-10.001194,0.031086,0.422047,-0.005345,-0.010232,-0.000916
1765828956.231333,-9.835006,0.012554,0.257054,-0.007941,-0.006872,-0.000305
1765828956.231533,-9.810495,0.041846,0.235533,-0.008247,-0.006872,-0.003207
1765828956.231688,-9.892993,0.007771,0.375418,-0.010232,-0.009621,0.000153
1765828956.231855,-10.058583,-0.016738,0.489000,-0.009774,-0.007178,0.000764
1765828956.232021,-10.013748,0.010760,0.449546,-0.008552,-0.005803,-0.001527
1765828956.232188,-9.890003,0.020325,0.309063,-0.008705,-0.007636,0.000153
1765828956.232355,-9.781802,-0.003587,0.196078,-0.009774,-0.007636,-0.001222
1765828956.232521,-9.811094,-0.025108,0.283357,-0.007789,-0.011301,-0.001374
1765828956.232934,-9.819464,-0.011956,0.192492,-0.007636,-0.009621,-0.001680
1765828956.233184,-10.042442,-0.054998,0.396939,-0.006567,-0.009621,-0.000458
1765828956.233434,-10.061573,-0.041846,0.426829,-0.006872,-0.005192,-0.001833
1765828956.233688,-9.958152,-0.016141,0.267217,-0.008858,-0.002749,-0.001527
1765828956.233888,-9.781802,0.032879,0.227164,-0.009010,-0.006109,-0.001527
1765828956.234088,-9.974891,0.160210,0.273792,-0.009468,-0.006872,0.002596
1765828956.234288,-10.407699,-0.417264,0.697035,-0.005192,-0.005345,0.016799
1765828956.234488,-10.419655,-1.165710,0.350909,0.002443,-0.000611,0.013134
1765828956.234692,-10.535626,-1.122668,0.417264,0.007636,-0.008247,-0.001222
1765828956.234892,-11.312767,-0.456121,0.789096,0.012981,-0.008247,-0.015272
1765828956.235092,-11.312767,-0.456121,0.789096,0.012981,-0.018021,-0.015272
1765828956.235292,-10.855450,0.300096,0.359876,0.022907,-0.024282,-0.018326
1765828956.235492,-10.919415,1.018651,0.978599,0.008094,-0.012828,-0.010079
1765828956.235808,-10.515302,0.050215,0.151841,0.008094,-0.064141,0.027184
1765828956.236058,-10.692251,-0.864419,0.193089,0.013592,-0.064141,0.012065
1765828956.236308,-10.632471,-0.636657,0.785509,0.009621,-0.040928,-0.014508
1765828956.236558,-10.064561,0.387972,0.484816,0.011301,-0.034056,-0.020769
1765828956.236728,-9.385460,0.687470,-0.247489,0.006872,-0.056352,-0.001985
1765828956.236928,-9.231229,0.130320,-0.188307,0.000153,-0.063072,0.006567
1765828956.237128,-9.113461,-0.131516,0.041846,0.007636,-0.048258,0.009927
1765828956.237328,-8.654949,-0.204448,-0.219990,0.008858,-0.037568,0.002291
1765828956.237528,-8.495934,0.075921,-0.371832,0.002138,-0.038026,-0.004887
1765828956.237675,-8.537182,0.123147,-0.243902,0.002443,-0.036194,0.001527
1765828956.237875,-8.560496,0.032281,-0.163797,0.011301,-0.029932,0.012065
1765828956.238075,-8.616092,0.142276,-0.104017,0.009774,-0.016952,0.005192
1765828956.238275,-8.912003,0.553563,0.052606,0.003054,-0.002443,0.001222
1765828956.238475,-9.336440,0.617527,0.084888,0.001222,-0.000153,0.005345
1765828956.238702,-9.503824,0.634864,0.331779,-0.002749,-0.000305,0.006567
1765828956.238952,-9.965326,0.930177,0.734098,-0.020006,0.003818,0.005651
1765828956.239202,-10.233141,0.147059,0.926590,-0.020464,0.007178,0.022144
1765828956.239452,-9.869678,-0.870995,-0.160210,-0.014050,-0.003054,0.019395
1765828956.239739,-10.121352,-0.361071,0.312052,-0.011301,0.005956,-0.006109
1765828956.239939,-10.376613,0.131516,1.128646,-0.013134,0.005956,-0.009163
1765828956.240139,-10.352103,0.156624,0.770564,-0.015119,-0.002138,0.001833
1765828956.240339,-10.104015,-0.527260,0.203252,-0.009163,-0.014508,0.007941
1765828956.240539,-9.892395,-0.521282,0.102822,-0.003054,-0.010690,-0.009010
