time,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,temp_c,t_norm
0.0,-9.517122753042289,0.012981823231211243,0.12111982212322908,0.007498836100820845,0.011537436699418787,-0.015434283733595757,25.0,0.0
0.0025,-9.52796306989435,0.05441054116503491,0.0917927786901719,0.011510596904794983,-0.0012817229556765378,-0.0006785331942352189,25.000124999739583,0.0025
0.005,-9.599637353982976,0.043447826583849186,0.07120526675038676,0.007153207008479105,-0.0032758806919919916,-0.001986372939209686,25.000249998958335,0.005
0.0075,-9.64066361377052,0.024749807115297243,0.00761363832411404,-0.00350822229868297,0.004908616598168507,0.002304740870763904,25.00037499765626,0.0075
0.01,-9.654169553305687,-0.013639224427171977,0.05472453753836294,0.007725795426410363,-0.004115298407810562,-0.00348794119805762,25.000499995833355,0.01
0.0125,-9.755451585683712,0.05185984814822776,-0.014862142685151918,-0.0014890195019378796,-0.008409052412241018,0.011461389303492608,25.00062499348963,0.0125
0.015,-9.818797697300331,0.009635586489562713,-0.0540549345697797,0.006188402538814788,0.010629946410552427,-0.002186237300533707,25.000749990625078,0.015
0.0175,-9.794504609372,0.06078292957087332,0.07229995410792782,-0.008296265723234202,-0.0075841068147947934,-0.0004054423227637261,25.000874987239705,0.0175
0.02,-9.787808110369578,0.007631160823728557,0.06371802680883071,0.014030552387538817,-0.009514886818672305,0.0006911848456696455,25.000999983333518,0.02
0.0225,-9.794162540006845,0.01569603739637033,-0.007714531073034657,0.00995918647654305,0.003998708444588035,0.009201657845326465,25.001124978906514,0.0225
0.025,-9.86465820199593,-0.05316950239565747,0.03510408290884186,0.009851637964299073,-0.00782723371434671,0.007696182156180492,25.001249973958696,0.025
0.0275,-9.927790367873964,-0.02371089492525561,0.009424862576496187,-0.0011361780077891962,0.0019675006969984378,0.016173961076816432,25.001374968490065,0.0275
0.03,-9.798915497486648,0.06429611581660881,0.05084735751847337,-0.004962389748413527,-0.0005371829918103428,-0.0020934422390629782,25.001499962500628,0.03
0.0325,-9.81813995800994,0.0407141750242491,-0.01814655773648799,0.016076364631379094,0.00016430697031831476,-0.0018663310947375097,25.00162495599038,0.0325
0.035,-9.768933468121446,0.0035868916906528336,-0.011263698022915368,0.0034806919203530834,-0.00410544827461133,0.006601754901311174,25.001749948959326,0.035
0.0375,-9.86564331050658,-0.008219732929476552,-0.017687176404062258,-0.006631517784393019,-0.0043154592230066,0.00497476761087786,25.001874941407472,0.0375
0.04,-9.774780583325589,-0.03757022335061842,-0.009367110724452055,0.0036941835496991735,-0.015069008585181565,-0.011614549697621893,25.001999933334815,0.04
0.0425,-9.837197949463516,-0.0021943347130301766,0.006662313331410621,-0.004105904636448831,0.006222209064711207,0.007752033495915632,25.002124924741363,0.0425
0.045,-9.83078347539515,-0.009090340471026595,-0.0026367428908811615,0.013040613740733963,-0.005397253903970733,-0.008990438075610953,25.00224991562711,0.045
0.0475,-9.863779478056168,0.019661233800226968,0.05411555753153473,0.009698714119959985,-1.3130185775464542e-05,-0.011485725062750286,25.002374905992063,0.0475
0.05,-9.850611562862488,-0.019117782505987255,-0.01649054484104294,-0.006933981287999251,-0.01001998116904116,0.0041537616303580155,25.002499895836227,0.05
0.0525,-9.86394393200664,-0.05938273094984403,0.03419951418607003,-0.0009629362638078295,-0.002989594205389628,0.0023580850334511657,25.0026248851596,0.0525
0.055,-9.827860425888892,-0.03143732677191121,0.013898682293334588,-0.003326219169631159,0.005783546679736833,-0.0034213574820944927,25.002749873962184,0.055
0.0575,-9.837961096680722,-0.0020036665661609726,0.036167214527791425,0.008502257916536044,-0.00037534886406311637,-0.014731649586511067,25.00287486224398,0.0575
0.06,-9.77845164235104,0.06467623675651528,0.0779866479771254,0.0005561821979593725,-0.0037194510942425867,0.006382644612006761,25.002999850005,0.06
0.0625,-9.830413169372461,-0.011635098071562853,0.0001864168815169879,0.0016636192490345147,-0.0022968498369720656,0.00302255864621592,25.003124837245235,0.0625
0.065,-9.831769608227715,-0.028540999368945434,-0.025797765762869365,0.002648870857301931,-0.0034287925279657913,-0.0034651796581250767,25.00324982396469,0.065
0.0675,-9.81287201026064,0.05085022401615993,-0.0032221681562380963,-0.0006961532290411859,-0.01567173810978338,0.004540667552789893,25.00337481016337,0.0675
0.07,-9.854454198775247,-0.010548848551902665,-0.02399028163737913,-0.003634472811475291,0.009215270473996406,0.005209474325395199,25.00349979584127,0.07
0.0725,-9.829043436440614,0.02128205106768999,0.007516380264785666,-0.006708250949600813,-0.008646742366821818,0.002669995188872358,25.003624780998404,0.0725
0.075,-9.776588158050926,0.011880110083007562,0.016836386144497287,0.015172012637145377,0.0033350804274229757,-0.003513865886340917,25.003749765634765,0.075
0.0775,-9.831137857441764,0.0482488214386947,-0.041206905264354055,-0.007107242560421206,-0.011089777955940544,-0.013007337194306155,25.00387474975036,0.0775
0.08,-9.843787197680179,-0.04254452078323076,0.032826276238003084,0.004438795010858057,-0.00682842470741416,0.0025726310700936545,25.003999733345186,0.08
0.0825,-9.80516723011037,-0.02065102209903808,0.061269883700321555,0.004021803498240578,-0.005234331326823462,-0.010416720950819996,25.00412471641925,0.0825
0.085,-9.83867366078013,-0.04704949626317503,-0.005127773615797587,-0.0028081233427074506,-0.005298807199986376,-0.004908623077889394,25.004249698972547,0.085
0.0875,-9.809717179812822,-0.0035862813064996037,0.07988003669983322,0.00512630744788924,-0.00438020474558804,0.01066990803265572,25.004374681005093,0.0875
0.09,-9.789792626609996,0.06615073503779285,0.050564123841888575,0.008280872520523166,-0.014449014913659965,0.0021077395712334342,25.004499662516874,0.09
