time,a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z,a3x,a3y,a3z,g3x,g3y,g3z,a4x,a4y,a4z,g4x,g4y,g4z
1769645286.622362,-9.795551,0.011358,0.229555,-0.007025,-0.005345,0.002443,-9.577952,-0.036466,0.058584,0.004581,-0.005956,0.005651,-9.607842,0.226566,0.196676,-0.009468,0.007178,-0.000458,-9.389645,0.061573,0.045433,0.006567,0.016646,-0.003971
1769645286.622362,-9.744141,-0.001793,0.200861,-0.008247,0.002749,0.001833,-9.537301,-0.063367,0.187111,0.004581,-0.003971,0.003207,-9.560018,0.200861,0.174558,-0.004581,0.010996,-0.003512,-9.344810,0.037064,0.121951,0.011912,0.016493,-0.002443
1769645286.622362,-9.830223,-0.104017,0.175155,-0.007636,0.002749,-0.001374,-9.619798,-0.136896,0.145265,0.006109,-0.004734,0.005498,-9.641318,0.134505,0.181731,-0.012828,0.009621,-0.003971,-9.444045,-0.029890,0.060976,0.006414,0.016493,-0.005345
1769645286.622362,-10.049019,-0.026303,0.040053,-0.007178,-0.002596,-0.004581,-9.824843,-0.004782,-0.011358,0.004734,-0.004276,-0.000153,-9.933643,0.197274,0.040650,-0.012828,0.007941,-0.005803,-9.747727,0.120158,-0.103419,0.011301,0.013286,-0.010232
1769645286.622362,-10.373026,0.522477,0.307269,-0.002749,-0.003512,-0.011301,-10.172164,0.491392,0.161406,0.004734,-0.000153,-0.008247,-10.153633,0.749043,0.353898,-0.004887,0.015272,-0.014508,-9.965924,0.573290,0.186514,0.010232,0.012828,-0.016188
1769645286.623309,-10.515302,0.719751,0.512315,-0.014050,0.004429,-0.005803,-10.269009,0.598996,0.380201,0.006567,-0.007483,0.000000,-10.266617,0.909852,0.432209,-0.004887,0.005651,-0.007025,-10.076518,0.705404,0.303682,0.001222,0.012828,-0.009010
1769645286.623309,-10.435794,0.826160,0.327594,-0.021686,-0.005803,-0.000153,-10.251074,0.718556,0.142276,-0.003665,-0.019548,0.001527,-10.219392,1.009086,0.378407,-0.024740,-0.004276,-0.005651,-10.037063,0.824964,0.153037,-0.003665,-0.001222,-0.004429
1769645286.623309,-10.300095,0.523673,-0.062171,-0.020617,-0.017410,0.005192,-10.094451,0.447154,-0.195481,-0.010232,-0.021838,0.007483,-10.151243,0.706600,-0.069943,-0.024740,-0.007483,0.001833,-9.936632,0.570301,-0.241511,-0.006872,-0.006720,-0.000916
1769645286.623309,-10.064561,0.496772,-0.127929,-0.019548,-0.016646,-0.005040,-9.860711,0.444165,-0.168580,-0.005956,-0.013592,0.001527,-9.942013,0.674318,-0.174558,-0.022907,0.001833,-0.006261,-9.728000,0.563128,-0.221186,-0.005498,-0.006720,-0.010232
1769645286.623309,-10.176947,0.839909,0.120756,-0.018479,-0.009468,-0.003054,-9.983260,0.614538,0.096844,-0.005956,-0.009468,0.000000,-9.802725,1.042563,0.133907,-0.022449,0.007330,-0.006872,-9.637732,0.694046,0.099235,-0.002902,0.008247,-0.009316
1769645286.623309,-10.016738,0.206839,0.293520,-0.014203,-0.006567,0.018021,-9.814083,0.157819,0.335964,-0.007330,-0.020769,0.020006,-9.823050,0.419656,0.114180,-0.022449,-0.008705,0.013897,-9.609635,0.222382,0.127331,0.000764,-0.006109,0.013134
1769645286.623309,-10.050812,-0.304878,0.164993,-0.002443,-0.016188,0.013592,-9.817670,-0.220588,0.041248,-0.001222,-0.020311,0.017410,-9.964130,-0.047824,0.148852,-0.007483,-0.004276,0.013439,-9.750716,-0.113582,-0.046628,0.007636,-0.002902,0.009468
1769645286.623309,-10.143471,-0.528455,0.383190,0.005803,-0.021228,0.004123,-9.919893,-0.558345,0.124342,0.007025,-0.014508,0.008705,-10.011955,-0.328790,0.176351,-0.007483,0.004276,0.000611,-9.760879,-0.444763,-0.068149,0.019548,0.000916,0.001374
1769645286.623309,-9.775824,-0.567910,-0.118364,0.005803,-0.011454,0.004123,-9.537301,-0.546389,-0.021521,0.019700,-0.023976,0.001680,-9.668818,-0.365854,-0.277379,0.006261,-0.007178,-0.006720,-9.448828,-0.416069,-0.203252,0.029780,0.000916,-0.007636
1769645286.623309,-9.760879,-0.137494,-0.239120,0.030085,-0.015272,-0.009163,-9.558225,-0.206241,-0.063367,0.031765,-0.019548,-0.005192,-9.549257,0.090866,-0.209230,0.018631,-0.001069,-0.011301,-9.338234,-0.073529,-0.070540,0.040164,-0.007941,-0.012370
1769645286.624344,-9.945002,0.135103,0.219393,0.028253,-0.015272,-0.006414,-9.747727,0.040650,0.175753,0.039248,-0.017104,-0.004123,-9.717837,0.346126,0.148852,0.029474,-0.000916,-0.010843,-9.548061,0.143472,0.088474,0.046273,0.000153,-0.012981
1769645286.624344,-9.945002,0.135103,0.219393,0.028253,-0.012370,-0.006414,-9.968913,0.106408,0.193687,0.039706,-0.011912,0.002291,-9.893590,0.455524,0.429818,0.028558,0.001374,-0.000611,-9.689740,0.176351,0.186514,0.045357,0.000153,-0.004887
1769645286.624344,-9.990434,-0.184122,0.218795,0.027947,-0.008399,0.007025,-9.771041,-0.154232,0.263032,0.043371,-0.020617,0.007941,-9.895982,0.029292,0.242707,0.028558,-0.001833,0.004123,-9.674197,-0.059182,0.199067,0.042608,0.001527,0.000764
1769645286.624344,-9.994021,-0.121951,0.292922,0.024587,-0.012675,-0.005345,-9.807508,-0.150646,0.257054,0.041081,-0.015577,-0.001680,-9.888808,0.069345,0.273792,0.029932,0.001680,-0.008399,-9.670013,-0.049020,0.216404,0.040164,-0.000305,-0.010385
1769645286.624344,-10.160210,0.023912,0.453132,0.018479,-0.011301,-0.010843,-9.927666,-0.028694,0.326399,0.039248,-0.015730,-0.005956,-9.950979,0.236729,0.487805,0.023976,0.005192,-0.011912,-9.750119,0.075323,0.334768,0.035125,0.001680,-0.013744
1769645286.624344,-10.157818,0.309063,0.619321,0.018479,-0.011301,-0.012217,-9.972500,0.219393,0.444763,0.032987,-0.013134,-0.003971,-9.934240,0.515901,0.652798,0.012675,0.001833,-0.011148,-9.751313,0.344931,0.432209,0.029169,0.001680,-0.011759
1769645286.624344,-9.990434,0.319823,0.443568,0.008552,-0.011759,-0.003360,-9.730989,0.285748,0.387972,0.017104,-0.018021,0.000153,-9.777617,0.542205,0.497967,0.012675,-0.002749,-0.001680,-9.542084,0.359278,0.460306,0.023060,-0.002749,-0.007178
