time,acc_x_g,acc_y_g,acc_z_g,gyro_x_rad_s,gyro_y_rad_s,gyro_z_rad_s
1765410641.120791,-10.206838,1.052726,-3.108560,0.358883,-0.048717,-0.010996
1765410641.121041,-9.912720,1.416786,-3.520444,0.363618,-0.048717,-0.017410
1765410641.121291,-9.788378,1.219512,-3.967001,0.362549,-0.049480,-0.016952
1765410641.121541,-10.255857,1.163319,-3.515662,0.375682,-0.061392,-0.021228
1765410641.121831,-10.686871,1.005500,-2.840746,0.386678,-0.056963,-0.035277
1765410641.122081,-10.029889,1.398852,-3.407460,0.394772,-0.048869,-0.041997
1765410641.122331,-9.207913,1.561454,-4.390244,0.392786,-0.052382,-0.040623
1765410641.122581,-10.082495,1.730033,-3.702774,0.394619,-0.077427,-0.043830
1765410641.122718,-10.797463,1.551889,-2.524509,0.411418,-0.082161,-0.040775
1765410641.122968,-10.610950,1.154352,-3.356050,0.416457,-0.072388,-0.049022
1765410641.123218,-9.124820,1.099952,-4.549258,0.409127,-0.079260,-0.062614
1765410641.123468,-9.203729,1.894428,-4.239598,0.417985,-0.079260,-0.075136
1765410641.123683,-9.845766,2.136537,-3.657341,0.423940,-0.095142,-0.064294
1765410641.123933,-10.863222,1.674438,-2.791726,0.415999,-0.105069,-0.069028
1765410641.124183,-10.714968,1.372549,-3.121712,0.417679,-0.077580,-0.074984
1765410641.124433,-9.634145,1.347441,-4.105093,0.426078,-0.107207,-0.079107
1765410641.124691,-9.646699,1.447872,-3.733859,0.421497,-0.107207,-0.089797
1765410641.124941,-9.646699,1.447872,-3.733859,0.421497,-0.115301,-0.089797
1765410641.125191,-10.497369,2.195122,-3.090626,0.420733,-0.108429,-0.095142
1765410641.125441,-9.683165,1.695361,-3.949067,0.415388,-0.107512,-0.085063
1765410641.125707,-9.524150,1.830464,-3.734457,0.420275,-0.121409,-0.088423
1765410641.126040,-9.820659,1.542922,-3.421807,0.412334,-0.134085,-0.085827
1765410641.126374,-9.820659,1.542922,-3.421807,0.412334,-0.137750,-0.085827
1765410641.126722,-10.277378,1.015064,-3.384744,0.400880,-0.144928,-0.080176
1765410641.126972,-9.869678,0.803443,-3.576040,0.407753,-0.144928,-0.089492
1765410641.127222,-9.691534,0.995337,-4.137972,0.406836,-0.143859,-0.097738
1765410641.127472,-10.087276,1.410808,-3.779292,0.413861,-0.160352,-0.096975
1765410641.127742,-10.418460,0.967240,-3.280726,0.413709,-0.159283,-0.092241
1765410641.127992,-10.524867,1.101745,-2.944763,0.428675,-0.155923,-0.096059
1765410641.128242,-10.261834,0.896700,-3.531803,0.406836,-0.155923,-0.102778
1765410641.128492,-10.228358,1.276901,-3.602343,0.425162,-0.184329,-0.099876
1765410641.128771,-10.427425,1.194404,-3.219153,0.431729,-0.187994,-0.094990
1765410641.129021,-10.317431,1.299617,-3.169535,0.429438,-0.199600,-0.096669
1765410641.129271,-9.697512,1.070062,-4.081779,0.424399,-0.220522,-0.100487
1765410641.129521,-9.619798,1.344452,-3.859397,0.425926,-0.220522,-0.100793
