time,acc_x_g,acc_y_g,acc_z_g,gyro_x_rad_s,gyro_y_rad_s,gyro_z_rad_s
1765410660.367412,3.421807,-2.348159,-8.838473,0.001680,-0.010843,0.001833
1765410660.367662,-3.555715,-2.351148,-8.778095,-0.009468,-0.007636,-0.000305
1765410660.367912,-3.615495,-2.345767,-8.745814,-0.010690,-0.012828,0.000764
1765410660.368162,-3.615495,-2.345767,-8.745814,-0.010690,-0.011912,0.000764
1765410660.368473,-3.622668,-2.298541,-8.717717,-0.007330,-0.010537,-0.001680
1765410660.368723,-3.640602,-2.333214,-8.740434,-0.007330,-0.012065,0.000916
1765410660.368973,-3.649569,-2.321855,-8.736250,-0.007483,-0.014203,0.002902
1765410660.369223,-3.622070,-2.308704,-8.769726,-0.006720,-0.014661,0.002749
1765410660.369457,-3.645384,-2.297943,-8.748803,-0.007330,-0.012370,0.001833
1765410660.369657,-3.593376,-2.317073,-8.737445,-0.005498,-0.013439,0.000458
1765410660.369857,-3.605930,-2.269249,-8.796030,-0.006261,-0.013439,0.003971
1765410660.370057,-3.604136,-2.210665,-8.838473,-0.008552,-0.014966,0.003818
1765410660.370257,-3.549139,-2.204686,-8.868961,-0.008247,-0.018021,0.004276
1765410660.370375,-3.561692,-2.255499,-8.891678,-0.007178,-0.018784,0.005956
1765410660.370625,-3.596365,-2.220229,-8.811572,-0.007941,-0.021228,0.005956
1765410660.370875,-3.702774,-2.248326,-8.737445,-0.010690,-0.020922,0.006109
1765410660.371125,-3.642993,-2.356528,-8.799616,-0.010690,-0.023213,0.007330
1765410660.372808,-3.648373,-2.336202,-8.773911,-0.010537,-0.025198,0.006872
1765410660.373058,-3.626255,-2.132951,-8.776899,-0.008552,-0.001222,0.001374
1765410660.373308,-3.548541,-2.268053,-8.847440,-0.009010,-0.001222,-0.002291
1765410660.373558,-3.784074,-2.003228,-8.492348,-0.008247,-0.007789,-0.007483
1765410660.372860,-3.883309,-1.895026,-8.304638,-0.007483,-0.002749,-0.008094
1765410660.373110,-3.675275,-1.808345,-8.713532,-0.013897,0.000611,-0.008399
1765410660.373360,-3.708153,-1.771879,-8.706360,-0.014813,0.003054,-0.006414
1765410660.373610,-3.680655,-2.061214,-8.712338,-0.014355,0.007025,-0.000611
1765410660.374602,-3.802008,-2.165830,-8.648373,-0.014355,0.002902,-0.003207
1765410660.374852,-4.044715,-2.192730,-8.364418,-0.015272,0.005498,-0.005651
1765410660.375102,-3.962816,-2.408536,-8.507890,-0.014661,0.009621,-0.008247
1765410660.375352,-3.928144,-2.285987,-8.665112,-0.010996,0.004123,-0.010385
1765410660.374633,-4.014227,-2.039694,-8.618483,-0.007483,0.005040,-0.006261
1765410660.374833,-4.139167,-2.066595,-8.614896,-0.010537,0.005498,0.001222
1765410660.375033,-4.302367,-2.283596,-8.464849,-0.011759,0.006720,0.005345
1765410660.375233,-4.404591,-2.600430,-8.426589,-0.011301,0.006872,0.009774
1765410660.375433,-4.426111,-2.876016,-8.428981,-0.006567,0.004429,0.010843
1765410660.375472,-4.420134,-3.124701,-8.338115,-0.001527,0.004429,0.009774
1765410660.375722,-4.593495,-3.136059,-8.218554,0.001680,-0.002596,0.006567
1765410660.375972,-4.675992,-3.054758,-8.048779,0.004734,-0.005345,0.004429
1765410660.376222,-4.704088,-3.128885,-8.210185,0.004734,-0.016952,0.003360
1765410660.376386,-4.665231,-3.134863,-8.139645,-0.000764,-0.028100,0.003971
1765410660.376636,-4.720827,-3.121712,-8.108559,-0.001680,-0.031918,0.009468
1765410660.376886,-4.836800,-3.139646,-7.850309,-0.001680,-0.036499,0.009468
1765410660.377136,-5.001793,-3.198230,-7.741510,-0.007789,-0.063225,0.022297
1765410660.377386,-5.166786,-3.217360,-7.669775,-0.008705,-0.063225,0.027031
1765410660.377636,-5.102821,-3.214968,-7.928024,-0.009621,-0.079871,0.033598
1765410660.377886,-4.851745,-3.266379,-8.446915,-0.014966,-0.089797,0.044288
1765410660.378136,-4.851745,-3.266379,-8.446915,-0.014966,-0.090103,0.044288
1765410660.378360,-4.671209,-3.102582,-8.483978,-0.012217,-0.104305,0.064446
1765410660.378610,-5.172166,-2.951936,-7.694284,-0.009621,-0.104305,0.077580
1765410660.378860,-5.187709,-2.887972,-7.954327,-0.021380,-0.105832,0.091324
1765410660.379110,-5.014347,-2.581301,-8.492945,-0.015730,-0.126144,0.107207
1765410660.379509,-5.094451,-3.089431,-8.048779,-0.020311,-0.133932,0.130572
1765410660.379759,-4.931850,-2.969273,-8.417024,-0.020617,-0.144164,0.143248
1765410660.380009,-5.125537,-2.818627,-8.208990,-0.029932,-0.144164,0.156229
1765410660.380259,-5.206838,-2.789335,-8.372787,-0.027947,-0.155007,0.170584
1765410660.380439,-5.289335,-2.597441,-8.470826,-0.035583,-0.167072,0.189063
1765410660.380772,-5.561931,-2.708632,-7.938784,-0.037110,-0.176387,0.210290
1765410660.381106,-5.509326,-3.177905,-7.849114,-0.039859,-0.197615,0.223577
1765410660.381397,-5.109994,-2.969871,-8.773911,-0.046731,-0.197615,0.227395
1765410660.381647,-5.477044,-2.760640,-8.084049,-0.042913,-0.209679,0.240834
1765410660.381897,-5.503347,-2.821616,-8.035628,-0.033903,-0.236558,0.261450
1765410660.382147,-5.752032,-2.586083,-7.852701,-0.043066,-0.236558,0.267559
1765410660.382404,-5.986370,-2.436035,-7.776780,-0.043066,-0.244346,0.267559
1765410660.382654,-5.740076,-2.363701,-8.359635,-0.047037,-0.270308,0.287565
1765410660.382904,-5.465088,-2.302726,-8.604733,-0.058338,-0.282831,0.300393
1765410660.383154,-5.588832,-2.253108,-8.391916,-0.066432,-0.290161,0.308945
1765410660.383399,-5.604973,-2.143711,-8.216164,-0.066126,-0.290925,0.320857
1765410660.383732,-5.604973,-2.143711,-8.216164,-0.066126,-0.317803,0.320857
1765410660.384066,-6.233859,-2.056432,-7.934002,-0.076969,-0.329562,0.335518
1765410660.384377,-5.836322,-2.257891,-8.489956,-0.078343,-0.337350,0.348040
1765410660.384627,-5.762792,-2.465327,-8.424197,-0.086896,-0.352164,0.339488
1765410660.384877,-5.615136,-1.899808,-8.296268,-0.093310,-0.352164,0.341932
1765410660.385127,-5.615136,-1.899808,-8.296268,-0.093310,-0.373697,0.341932
1765410660.385368,-5.450740,-1.874701,-9.049497,-0.091477,-0.404698,0.359342
1765410660.385618,-5.393352,-1.457436,-8.836680,-0.099418,-0.404698,0.364839
1765410660.385868,-5.431611,-1.496891,-8.670492,-0.105374,-0.423024,0.379653
1765410660.386118,-5.407699,-2.443806,-8.301649,-0.116523,-0.431118,0.387441
1765410660.386420,-6.041367,-1.958393,-8.467239,-0.104763,-0.450819,0.379653
1765410660.386753,-6.288857,-2.352941,-8.000956,-0.122326,-0.457843,0.377057
1765410660.387087,-5.750836,-1.916547,-8.688426,-0.110872,-0.475711,0.369879
1765410660.387420,-6.302008,-1.611669,-8.412242,-0.125227,-0.497855,0.365297
1765410660.387670,-6.285270,-1.468197,-8.100190,-0.115454,-0.497855,0.372933
1765410660.387920,-5.703012,-1.378527,-8.961022,-0.125838,-0.517403,0.375988
1765410660.388170,-5.619320,-1.564443,-9.045312,-0.138666,-0.534965,0.371253
1765410660.388432,-5.821376,-1.421569,-8.800215,-0.137139,-0.535729,0.382249
1765410660.388765,-5.821376,-1.421569,-8.800215,-0.137139,-0.556193,0.382249
1765410660.389099,-6.342658,-1.643950,-8.209588,-0.153480,-0.568410,0.379805
