time,acc_x_g,acc_y_g,acc_z_g,gyro_x_rad_s,gyro_y_rad_s,gyro_z_rad_s
1765408196.080372,-6.933285,1.579388,6.455044,-0.226326,0.288328,-0.046884
1765408196.080600,-6.933285,1.579388,6.455044,-0.226326,0.279624,-0.046884
1765408196.080850,-6.376733,2.123386,5.376016,-0.233198,0.304516,-0.051618
1765408196.081100,-6.911764,2.159254,5.852462,-0.246026,0.301767,-0.039554
1765408196.081350,-6.617646,2.109039,6.154351,-0.254425,0.327118,-0.041997
1765408196.081562,-7.173600,2.211262,5.989358,-0.260534,0.317803,-0.023060
1765408196.081895,-7.173600,2.211262,5.989358,-0.260534,0.321315,-0.023060
1765408196.082229,-7.192730,1.691774,6.009086,-0.266490,0.331853,-0.055741
1765408196.082625,-7.545432,2.170014,6.285270,-0.291994,0.337350,-0.050244
1765408196.082875,-7.704447,2.216642,6.893830,-0.302989,0.341474,-0.060628
1765408196.083125,-7.835963,2.590865,6.419177,-0.296881,0.338725,-0.051771
1765408196.083375,-7.356527,1.923720,5.972023,-0.315970,0.332463,-0.036499
1765408196.083602,-7.797106,2.540650,6.533954,-0.311999,0.364687,-0.053909
1765408196.083852,-7.220229,2.400765,6.125059,-0.313832,0.364687,-0.044135
1765408196.084102,-7.062409,2.119201,5.506934,-0.318872,0.353386,-0.027184
1765408196.084352,-7.533476,1.557269,6.406025,-0.321315,0.341626,-0.043219
1765408196.084534,-7.776183,2.365494,6.675035,-0.326966,0.360258,-0.064141
1765408196.084784,-7.142515,2.082735,6.220707,-0.348804,0.363159,-0.057727
1765408196.085034,-6.359397,2.062410,4.998206,-0.355065,0.363159,-0.048411
1765408196.085284,-7.078550,2.009804,5.744858,-0.362396,0.349720,-0.062766
1765408196.085533,-7.643471,1.805954,6.481348,-0.364839,0.361174,-0.050855
1765408196.085866,-7.727163,1.947035,6.313963,-0.376751,0.388510,-0.069486
1765408196.086200,-6.752151,2.147895,5.481826,-0.382249,0.404545,-0.076816
1765408196.086573,-6.777259,2.354136,5.717360,-0.403324,0.383623,-0.059712
1765408196.086823,-6.777259,2.354136,5.717360,-0.403324,0.378126,-0.059712
1765408196.087073,-7.235772,2.134744,6.281683,-0.421650,0.408058,-0.070097
1765408196.087323,-6.506456,2.034911,5.338354,-0.435547,0.408058,-0.070555
1765408196.087639,-6.506456,2.034911,5.338354,-0.435547,0.394466,-0.070555
1765408196.087889,-7.179578,2.471305,6.090386,-0.456469,0.393855,-0.086285
1765408196.088139,-7.479076,2.373864,6.249402,-0.467923,0.416610,-0.073457
1765408196.088389,-7.525704,1.936872,6.633787,-0.487776,0.423330,-0.072693
1765408196.088688,-6.639167,1.239837,6.381515,-0.480140,0.435547,-0.093004
1765408196.088938,-6.950023,1.776662,5.725729,-0.463647,0.436921,-0.102320
1765408196.089188,-6.910568,1.514825,5.928383,-0.458913,0.432187,-0.109498
1765408196.089438,-6.971544,2.361310,5.986370,-0.455095,0.440587,-0.122631
1765408196.089638,-6.665471,2.290770,5.774748,-0.460592,0.461356,-0.116523
1765408196.089971,-6.631994,2.626733,5.606168,-0.464868,0.458607,-0.103084
1765408196.090305,-6.318747,1.843615,5.504542,-0.476322,0.453109,-0.107818
1765408196.091012,-6.451458,2.138331,5.639646,-0.475100,0.463036,-0.109956
1765408196.091262,-6.961979,1.510043,5.882352,-0.500451,0.461051,-0.115912
1765408196.091512,-8.574843,2.044476,7.158057,-0.509003,0.491288,-0.129656
1765408196.091762,-8.263988,2.016977,6.765901,-0.518777,0.491288,-0.131031
1765408196.091679,-6.842419,1.759923,5.326398,-0.534965,0.499993,-0.123242
1765408196.091929,-6.324724,1.543520,4.806312,-0.531300,0.486707,-0.133779
1765408196.092179,-7.262074,1.739000,6.032401,-0.540768,0.487623,-0.139277
1765408196.092429,-7.262074,1.739000,6.032401,-0.540768,0.521526,-0.139277
1765408196.092612,-7.913677,1.892635,6.376135,-0.558025,0.522290,-0.142790
1765408196.092862,-8.352462,1.612864,6.884265,-0.557567,0.519083,-0.137139
1765408196.093112,-8.548540,1.856767,6.808942,-0.539547,0.531300,-0.144622
1765408196.093362,-7.490435,1.591344,5.882352,-0.560927,0.531300,-0.144164
1765408196.093697,-7.490435,1.591344,5.882352,-0.560927,0.534660,-0.144164
1765408196.093947,-7.676948,2.057628,6.890243,-0.556651,0.542143,-0.140804
1765408196.094197,-8.361429,1.481349,6.940459,-0.568716,0.552833,-0.124006
1765408196.094447,-7.738521,0.852463,6.362386,-0.581086,0.557415,-0.138666
1765408196.094616,-8.357244,1.195600,6.741391,-0.595746,0.557415,-0.161879
1765408196.094949,-8.292682,1.254782,7.522716,-0.594830,0.555887,-0.161879
1765408196.095283,-7.735532,1.239239,6.488521,-0.606131,0.570701,-0.169973
1765408196.095639,-6.981109,1.504065,5.924198,-0.611934,0.563523,-0.178984
1765408196.095889,-6.941654,2.174199,5.934959,-0.618959,0.568716,-0.170584
